"legis.annee","primodep","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"Total","Ancien élu local",621,100,9.66183574879227,0,52.8647342995169,52,62.1867401725895,63.6363636363636,22.7053140096618,0,75.2012882447665,100,16.5861513687601,0,100,100,59.3020191362706,60.4166666666667,36.3929146537842,0,17.1481481481481,16
1997,"Total","Jamais élu local",33,100,39.3939393939394,0,47.6666666666667,45,23.5756871129137,16.1290322580645,42.4242424242424,0,72.7272727272727,100,12.1212121212121,0,0,0,10.4623107232215,0,72.7272727272727,100,6,3
2007,"Ancien député","Ancien élu local",449,73.0081300813008,14.2538975501114,0,56.8596881959911,58,72.3807733818403,75,30.7349665924276,0,71.7149220489978,100,13.1403118040089,0,100,100,68.6114812925592,69.2307692307692,0,0,22.7216035634744,24
2007,"Ancien député","Jamais élu local",9,37.5,22.2222222222222,0,50.2222222222222,51,33.2882419724525,30,33.3333333333333,0,100,100,0,0,0,0,28.4473112981885,26.3157894736842,0,0,7.66666666666667,6
2007,"Primo-député","Ancien élu local",166,26.9918699186992,30.1204819277108,0,51.0240963855422,51,59.6436000659997,60.7378129117259,24.0963855421687,0,64.4578313253012,100,19.2771084337349,0,100,100,54.5931894458785,52.0869565217392,100,100,15.1204819277108,12
2007,"Primo-député","Jamais élu local",15,62.5,46.6666666666667,0,43.1333333333333,41,33.2549425446291,13.0434782608696,53.3333333333333,100,46.6666666666667,0,13.3333333333333,0,0,0,0,0,100,100,3.06666666666667,3
2007,"Total","Ancien élu local",615,100,18.5365853658537,0,55.2845528455285,56,68.9427721291093,70.5882352941177,28.9430894308943,0,69.7560975609756,100,14.7967479674797,0,100,100,64.8276821924795,66.6666666666667,26.9918699186992,0,20.669918699187,21
2007,"Total","Jamais élu local",24,100,37.5,0,45.7916666666667,43.5,33.2674298300629,24.6963562753036,45.8333333333333,0,66.6666666666667,100,8.33333333333333,0,0,0,10.6677417368207,0,62.5,100,4.79166666666667,5
2012,"Ancien député","Ancien élu local",359,62.1107266435986,18.3844011142061,0,58.075208913649,60,74.6048798895414,76.1904761904762,33.4261838440111,0,68.5236768802228,100,15.041782729805,0,100,100,70.413192955786,71.4285714285714,0,0,24.3259052924791,23
2012,"Ancien député","Jamais élu local",5,11.1111111111111,40,0,48.4,48,43.5958244653897,23.8095238095238,40,0,40,0,40,0,0,0,28.688992167253,23.8095238095238,0,0,8.8,7
2012,"Primo-député","Ancien élu local",219,37.8892733564014,36.986301369863,0,50.1232876712329,50,56.3812360225192,56.0975609756098,34.703196347032,0,55.7077625570776,100,22.3744292237443,0,100,100,47.5050662081144,44.4444444444444,100,100,13.4703196347032,12
2012,"Primo-député","Jamais élu local",40,88.8888888888889,45,0,45.525,44.5,9.5793630013387,0,22.5,0,65,100,15,0,0,0,0,0,100,100,1.65,0
2012,"Total","Ancien élu local",578,100,25.4325259515571,0,55.0622837370242,56,67.7000736492683,70.7317073170732,33.9100346020761,0,63.6678200692042,100,17.8200692041523,0,100,100,61.7334701915298,63.8888888888889,37.8892733564014,0,20.2128027681661,20
2012,"Total","Jamais élu local",45,100,44.4444444444444,0,45.8444444444444,46,13.4448699858899,0,24.4444444444444,0,62.2222222222222,100,17.7777777777778,0,0,0,3.26011274627875,0,88.8888888888889,100,2.44444444444444,0
2017,"Ancien député","Ancien élu local",156,40.1028277634961,21.1538461538462,0,56.5641025641026,57,72.1360584322511,73.5087719298245,36.5384615384615,0,66.025641025641,100,8.33333333333333,0,100,100,66.3214527164475,65.1668351870576,0,0,22.2564102564103,22
2017,"Ancien député","Jamais élu local",6,3.06122448979592,50,50,48.6666666666667,48.5,50.547264746306,46.4285714285715,66.6666666666667,100,50,50,0,0,0,0,24.9722979174692,22.0864661654135,0,0,11,12
2017,"Primo-député","Ancien élu local",233,59.8971722365039,38.1974248927039,0,49.725321888412,49,46.355027961954,40,21.4592274678112,0,61.8025751072961,100,19.7424892703863,0,100,100,41.5788182679676,37.5,100,100,11.1931330472103,9
2017,"Primo-député","Jamais élu local",190,96.9387755102041,54.2105263157895,100,42.3052631578947,41,7.47940011446807,0,17.8947368421053,0,79.4736842105263,100,13.6842105263158,0,0,0,0,0,100,100,0.947368421052632,0
2017,"Total","Ancien élu local",389,100,31.3624678663239,0,52.4678663239075,53,56.7473813298257,58.3333333333333,27.5064267352185,0,63.4961439588689,100,15.1670951156812,0,100,100,51.5525933944866,51.6129032258065,59.8971722365039,100,15.6298200514139,16
2017,"Total","Jamais élu local",196,100,54.0816326530612,100,42.5,41,8.80456518006308,0,19.3877551020408,0,78.5714285714286,100,13.265306122449,0,0,0,0.768378397460591,0,96.9387755102041,100,1.25510204081633,0
2022,"Ancien député","Ancien élu local",213,50,31.924882629108,0,54.8403755868545,55,64.0846899673329,65.5172413793103,32.8638497652582,0,62.4413145539906,100,12.2065727699531,0,100,100,59.3411312209197,58.1395348837209,0,0,18.8215962441315,16
2022,"Ancien député","Jamais élu local",83,48.5380116959064,48.1927710843374,0,47.0481927710843,46,39.5566864028707,29.4117647058824,26.5060240963855,0,77.1084337349398,100,10.8433734939759,0,0,0,30.2041729202219,25,0,0,7,5
2022,"Primo-député","Ancien élu local",213,50,37.0892018779343,0,47.2676056338028,48,48.1814549122601,46.4102564102565,28.169014084507,0,54.9295774647887,100,23.943661971831,0,100,100,41.7344528667577,38.6904761904762,100,100,9.43661971830986,8
2022,"Primo-député","Jamais élu local",88,51.4619883040936,44.3181818181818,0,40.5795454545455,37.5,21.5262708390782,0,42.0454545454545,0,50,50,28.4090909090909,0,0,0,0.898692810457516,0,100,100,2.13636363636364,0
2022,"Total","Ancien élu local",426,100,34.5070422535211,0,51.0539906103286,52,56.1517821280966,53.8461538461538,30.5164319248826,0,58.6854460093897,100,18.075117370892,0,100,100,50.5585057830789,50,50,50,14.1291079812207,12
2022,"Total","Jamais élu local",171,100,46.1988304093567,0,43.719298245614,42,30.434154718809,18.8746438746439,34.5029239766082,0,63.1578947368421,100,19.8830409356725,0,0,0,15.3769954837339,8.13748531139835,51.4619883040936,100,4.49707602339181,5
2024,"Ancien député","Ancien élu local",316,78.4119106699752,34.4936708860759,0,52.6708860759494,53,59.9850080632048,57.1428571428571,31.3291139240506,0,60.126582278481,100,16.7721518987342,0,100,100,54.8631805993613,53.3333333333333,0,0,15.9367088607595,14
2024,"Ancien député","Jamais élu local",121,69.5402298850575,45.4545454545455,0,45.4049586776859,44,35.7440620398051,24.1379310344828,33.8842975206612,0,59.504132231405,100,23.1404958677686,0,0,0,24.8294952195744,20,0,0,5.70247933884298,6
2024,"Primo-député","Ancien élu local",87,21.5880893300248,29.8850574712644,0,49.6781609195402,51,54.8049216986522,56.0975609756098,33.3333333333333,0,56.3218390804598,100,18.3908045977011,0,100,100,47.6641529382885,47.0588235294118,100,100,12.0574712643678,10
2024,"Primo-député","Jamais élu local",53,30.4597701149425,28.3018867924528,0,41.0943396226415,37,17.697717280734,0,43.3962264150943,0,62.2641509433962,100,13.2075471698113,0,0,0,1.6833298863841,0,100,100,1.92452830188679,0
2024,"Total","Ancien élu local",403,100,33.4987593052109,0,52.0248138957816,53,58.8667263914528,56.4102564102564,31.7617866004963,0,59.3052109181141,100,17.12158808933,0,100,100,53.3090480769957,52.6315789473684,21.5880893300248,0,15.0992555831266,13
2024,"Total","Jamais élu local",174,100,40.2298850574713,0,44.0919540229885,43,30.4805448184094,21.7171717171717,36.7816091954023,0,60.3448275862069,100,20.1149425287356,0,0,0,18.0785303307273,14.2857142857143,30.4597701149425,0,4.55172413793103,2
