"legis.annee","groupe.pol","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"Total","profinter",91,100,12.0879120879121,0,52.2197802197802,52,59.9718414195767,65,7.69230769230769,0,0,0,100,100,96.7032967032967,100,59.8497412974766,63.6363636363636,53.8461538461538,100,16.0769230769231,15
1997,"Total","proflib",103,100,8.7378640776699,0,53.621359223301,53,57.1250178510099,56,7.76699029126214,0,100,100,0,0,96.1165048543689,100,56.553215420454,56,32.0388349514563,0,16.6407766990291,14
1997,"UDF/MODEM/UDI/NC/Dém","agri",3,16.6666666666667,0,0,56.6666666666667,57,93.3333333333333,100,0,0,100,100,0,0,100,100,93.3333333333333,100,0,0,29,32
1997,"UDF/MODEM/UDI/NC/Dém","artisancommercantpdg",9,23.6842105263158,0,0,55.5555555555556,56,63.9142263933435,68.9655172413793,11.1111111111111,0,100,100,0,0,100,100,61.8940243731415,68.9655172413793,0,0,19.1111111111111,15
1997,"UDF/MODEM/UDI/NC/Dém","cadsupprive",33,33.6734693877551,6.06060606060606,0,52.3939393939394,51,58.9983314686195,57.1428571428571,15.1515151515152,0,100,100,0,0,93.9393939393939,100,58.0973683966038,57.1428571428571,15.1515151515152,0,16.1515151515152,16
1997,"UDF/MODEM/UDI/NC/Dém","cadsuppub",36,15.3846153846154,8.33333333333333,0,54.9166666666667,54.5,63.0159247051748,66.6666666666667,55.5555555555556,100,100,100,0,0,91.6666666666667,100,59.3277272266707,66.0919540229885,16.6666666666667,0,18.75,18
1997,"UDF/MODEM/UDI/NC/Dém","collab",7,13.4615384615385,14.2857142857143,0,49.4285714285714,53,87.0663265306122,89.2857142857143,100,100,0,0,0,0,100,100,62.3640545961974,70,14.2857142857143,0,20.7142857142857,20
1997,"UDF/MODEM/UDI/NC/Dém","ouvrier",1,10,0,0,57,57,100,100,0,0,0,0,100,100,100,100,100,100,0,0,32,32
1997,"UDF/MODEM/UDI/NC/Dém","profinter",5,5.49450549450549,0,0,51.4,52,71.3742919389978,74.0740740740741,40,0,0,0,100,100,100,100,71.3742919389978,74.0740740740741,20,0,19,15
1997,"UDF/MODEM/UDI/NC/Dém","proflib",29,28.1553398058252,6.89655172413793,0,53.9310344827586,53,60.1221379182067,58.8235294117647,10.3448275862069,0,100,100,0,0,96.551724137931,100,59.5698804693975,58.8235294117647,24.1379310344828,0,17.6551724137931,20
2007,"Communiste","cadsupprive",1,1,0,0,72,72,53.3333333333333,53.3333333333333,0,0,100,100,0,0,100,100,53.3333333333333,53.3333333333333,0,0,24,24
2007,"Communiste","cadsuppub",5,2.55102040816327,0,0,60.6,59,70.7826797385621,80,0,0,100,100,0,0,100,100,70.7826797385621,80,0,0,25,24
2007,"Communiste","collab",2,2.17391304347826,50,50,46,46,75.7575757575758,75.7575757575758,50,50,0,0,0,0,100,100,59.0909090909091,59.0909090909091,50,50,13,13
2007,"Communiste","employe",3,37.5,33.3333333333333,0,59.3333333333333,61,64.1741741741742,83.3333333333333,33.3333333333333,0,0,0,100,100,100,100,64.1741741741742,83.3333333333333,0,0,23,30
2007,"Communiste","ouvrier",2,40,0,0,61.5,61.5,78.3410138248848,78.3410138248848,0,0,0,0,100,100,100,100,78.3410138248848,78.3410138248848,50,50,29,29
2007,"Communiste","profinter",12,15,25,0,58.3333333333333,59,75.3921769620892,77.5240384615385,0,0,0,0,100,100,100,100,75.3921769620892,77.5240384615385,41.6666666666667,0,25.25,24.5
2007,"Communiste","proflib",1,1.06382978723404,100,100,60,60,100,100,0,0,100,100,0,0,100,100,100,100,0,0,35,35
2007,"Non-inscrits","cadsuppub",3,1.53061224489796,0,0,54.3333333333333,56,64.3667861409797,66.6666666666667,66.6666666666667,100,100,100,0,0,100,100,57.9663765147636,57.1428571428571,33.3333333333333,0,18.3333333333333,14
2007,"Non-inscrits","collab",1,1.08695652173913,100,100,44,44,94.7368421052632,94.7368421052632,100,100,0,0,0,0,100,100,94.7368421052632,94.7368421052632,0,0,18,18
