"legis.annee","cabcollab","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Total","profinter",77,100,6.49350649350649,0,50.1818181818182,52,46.6162430564061,42.1052631578947,6.49350649350649,0,0,0,100,100,89.6103896103896,100,45.7308211190361,42.1052631578947,45.4545454545455,0,11.7402597402597,9
1978,"Total","proflib",103,100,1.94174757281553,0,53.873786407767,56,50.3319095879542,54.8387096774194,1.94174757281553,0,100,100,0,0,80.5825242718447,100,50.1049520794433,54.8387096774194,28.1553398058252,0,14.2330097087379,13
1997,"Ancien collaborateur","artisancommercantpdg",2,5.26315789473684,0,0,33.5,33.5,45.4545454545454,45.4545454545454,100,100,100,100,0,0,50,50,36.3636363636363,36.3636363636363,50,50,5,5
1997,"Ancien collaborateur","cadsupprive",22,22.4489795918367,9.09090909090909,0,49.0909090909091,48.5,69.4961277720065,75.7902298850575,100,100,100,100,0,0,95.4545454545455,100,62.3727834326839,64.691091954023,36.3636363636364,0,15.9545454545455,15
1997,"Ancien collaborateur","cadsuppub",69,29.4871794871795,14.4927536231884,0,51.3188405797101,51,57.3794917290807,59.2592592592593,100,100,100,100,0,0,88.4057971014493,100,45.3195369711181,45.8333333333333,44.9275362318841,0,15.2028985507246,15
1997,"Ancien collaborateur","collab",47,90.3846153846154,12.7659574468085,0,46.1063829787234,45,83.7165860874172,87.5,100,100,0,0,0,0,93.6170212765958,100,59.3099020233922,64.2857142857143,36.1702127659574,0,17.5744680851064,18
1997,"Ancien collaborateur","profinter",7,7.69230769230769,0,0,48.1428571428571,49,62.799448917096,65.3846153846154,100,100,0,0,100,100,100,100,61.2121473297944,63.6363636363636,28.5714285714286,0,13.8571428571429,14
1997,"Ancien collaborateur","proflib",8,7.76699029126214,0,0,48.875,48.5,66.1701507870863,75.4985754985755,100,100,100,100,0,0,87.5,100,58.8081944936784,69.0476190476191,12.5,0,15.625,18.5
1997,"Jamais collaborateur","agri",18,100,0,0,55.6111111111111,56.5,69.2796236830615,78.4615384615385,0,0,100,100,0,0,94.4444444444444,100,69.2796236830615,78.4615384615385,27.7777777777778,0,21.1111111111111,20
1997,"Jamais collaborateur","artisancommercantpdg",36,94.7368421052632,5.55555555555556,0,54.1944444444444,55,57.5540058412728,52.7777777777778,0,0,100,100,0,0,97.2222222222222,100,57.5540058412728,52.7777777777778,36.1111111111111,0,16.6944444444444,15
