"legis.annee","tendance.pol","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Total","cadsuppub",165,100,1.81818181818182,0,49.3393939393939,50,44.3903497767744,41.6666666666667,29.0909090909091,0,100,100,0,0,80.6060606060606,100,40.0546046897445,39.3939393939394,42.4242424242424,0,10.8727272727273,10
1978,"Total","collab",10,100,0,0,43.6,45,53.9420954153249,56.7255434782608,80,100,0,0,0,0,80,100,40.5223261332993,35.248447204969,40,0,9,6.5
1978,"Total","employe",54,100,11.1111111111111,0,54.4444444444444,55.5,46.3836363177426,46.2962962962962,0,0,0,0,100,100,83.3333333333333,100,46.3836363177426,46.2962962962962,25.9259259259259,0,13.5740740740741,13
1978,"Total","NA",4,100,50,50,45.75,44,24.3777056277056,1.78571428571428,0,0,0,0,0,0,50,50,24.3777056277056,1.78571428571428,75,100,8,0.5
1978,"Total","profinter",77,100,6.49350649350649,0,50.1818181818182,52,46.6162430564061,42.1052631578947,6.49350649350649,0,0,0,100,100,89.6103896103896,100,45.7308211190361,42.1052631578947,45.4545454545455,0,11.7402597402597,9
1978,"Total","proflib",103,100,1.94174757281553,0,53.873786407767,56,50.3319095879542,54.8387096774194,1.94174757281553,0,100,100,0,0,80.5825242718447,100,50.1049520794433,54.8387096774194,28.1553398058252,0,14.2330097087379,13
1997,"Centre","agri",3,16.6666666666667,0,0,56.6666666666667,57,93.3333333333333,100,0,0,100,100,0,0,100,100,93.3333333333333,100,0,0,29,32
1997,"Centre","artisancommercantpdg",9,23.6842105263158,0,0,55.5555555555556,56,63.9142263933435,68.9655172413793,11.1111111111111,0,100,100,0,0,100,100,61.8940243731415,68.9655172413793,0,0,19.1111111111111,15
1997,"Centre","cadsupprive",33,33.6734693877551,6.06060606060606,0,52.3939393939394,51,58.9983314686195,57.1428571428571,15.1515151515152,0,100,100,0,0,93.9393939393939,100,58.0973683966038,57.1428571428571,15.1515151515152,0,16.1515151515152,16
1997,"Centre","cadsuppub",36,15.3846153846154,8.33333333333333,0,54.9166666666667,54.5,63.0159247051748,66.6666666666667,55.5555555555556,100,100,100,0,0,91.6666666666667,100,59.3277272266707,66.0919540229885,16.6666666666667,0,18.75,18
1997,"Centre","collab",7,13.4615384615385,14.2857142857143,0,49.4285714285714,53,87.0663265306122,89.2857142857143,100,100,0,0,0,0,100,100,62.3640545961974,70,14.2857142857143,0,20.7142857142857,20
1997,"Centre","ouvrier",1,10,0,0,57,57,100,100,0,0,0,0,100,100,100,100,100,100,0,0,32,32
1997,"Centre","profinter",5,5.49450549450549,0,0,51.4,52,71.3742919389978,74.0740740740741,40,0,0,0,100,100,100,100,71.3742919389978,74.0740740740741,20,0,19,15
1997,"Centre","proflib",29,28.1553398058252,6.89655172413793,0,53.9310344827586,53,60.1221379182067,58.8235294117647,10.3448275862069,0,100,100,0,0,96.551724137931,100,59.5698804693975,58.8235294117647,24.1379310344828,0,17.6551724137931,20
1997,"COM/LFI","agri",3,16.6666666666667,0,0,60.6666666666667,64,75.4124428543033,82.051282051282,0,0,100,100,0,0,100,100,75.4124428543033,82.051282051282,66.6666666666667,100,25.3333333333333,25
1997,"COM/LFI","artisancommercantpdg",1,2.63157894736842,0,0,56,56,64.5161290322581,64.5161290322581,0,0,100,100,0,0,100,100,64.5161290322581,64.5161290322581,100,100,20,20
1997,"COM/LFI","cadsuppub",8,3.41880341880342,0,0,57.5,58,54.5411494570947,57.5367647058823,0,0,100,100,0,0,100,100,54.5411494570947,57.5367647058823,37.5,0,18.5,19.5
1997,"COM/LFI","collab",2,3.84615384615385,50,50,47.5,47.5,26.5810276679842,26.5810276679842,0,0,0,0,0,0,100,100,26.5810276679842,26.5810276679842,100,100,6,6
1997,"COM/LFI","employe",1,16.6666666666667,100,100,55,55,50,50,0,0,0,0,100,100,100,100,50,50,0,0,15,15
1997,"COM/LFI","ouvrier",8,80,12.5,0,54,54,48.5023841525858,53.3333333333333,0,0,0,0,100,100,87.5,100,48.5023841525858,53.3333333333333,50,50,15.125,15.5
1997,"COM/LFI","profinter",16,17.5824175824176,0,0,53.6875,52.5,69.0430695890938,69.6178937558248,0,0,0,0,100,100,93.75,100,69.0430695890938,69.6178937558248,43.75,0,19.5,20
1997,"COM/LFI","proflib",2,1.94174757281553,50,50,49,49,73.9130434782608,73.9130434782608,0,0,100,100,0,0,100,100,73.9130434782608,73.9130434782608,50,50,18,18
1997,"Droite","agri",8,44.4444444444444,0,0,56.875,60,52.5994872165246,49.8214285714285,0,0,100,100,0,0,87.5,100,52.5994872165246,49.8214285714285,0,0,17.5,18.5
1997,"Droite","artisancommercantpdg",21,55.2631578947368,4.76190476190476,0,52.0476190476191,54,52.6232543769521,47.5,4.76190476190476,0,100,100,0,0,90.4761904761905,100,52.6232543769521,47.5,42.8571428571429,0,14.5238095238095,15
1997,"Droite","cadsupprive",25,25.5102040816327,4,0,53.4,54,62.6656465767937,64.5833333333333,32,0,100,100,0,0,96,100,59.4935012500321,57.1428571428571,16,0,17.08,16
1997,"Droite","cadsuppub",44,18.8034188034188,6.81818181818182,0,55.6590909090909,54.5,58.2261699763359,59.6296296296296,40.9090909090909,0,100,100,0,0,100,100,53.8194385154154,53.9259259259259,20.4545454545455,0,17.7954545454545,15
1997,"Droite","collab",13,25,7.69230769230769,0,47.8461538461538,50,85.7364131594901,88.8888888888889,100,100,0,0,0,0,100,100,68.0887072891122,68.1818181818182,0,0,19.6153846153846,19
1997,"Droite","NA",1,25,0,0,42,42,82.3529411764706,82.3529411764706,0,0,0,0,0,0,100,100,82.3529411764706,82.3529411764706,0,0,14,14
1997,"Droite","profinter",12,13.1868131868132,8.33333333333333,0,52.75,51.5,63.3954752371305,65.1923076923077,16.6666666666667,0,0,0,100,100,100,100,63.3954752371305,65.1923076923077,25,0,17.8333333333333,16
1997,"Droite","proflib",33,32.0388349514563,6.06060606060606,0,55.9393939393939,56,56.0559174823332,50,6.06060606060606,0,100,100,0,0,100,100,55.8604140610233,50,12.1212121212121,0,17.030303030303,14
1997,"ECO/SOC/RAD","agri",4,22.2222222222222,0,0,48.5,47.5,80,90,0,0,100,100,0,0,100,100,80,90,75,100,19.25,19
1997,"ECO/SOC/RAD","artisancommercantpdg",4,10.5263157894737,25,0,53.25,54,61.5991572067423,58.578431372549,0,0,100,100,0,0,100,100,61.5991572067423,58.578431372549,75,100,17,17
1997,"ECO/SOC/RAD","cadsupprive",40,40.8163265306122,10,0,51.55,52.5,58.4541951941978,59.1666666666667,22.5,0,100,100,0,0,97.5,100,57.2622411712093,57.7380952380952,52.5,100,15.125,14
