"legis.annee","genre","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"Femmes","NA",5,55.5555555555556,100,100,56.8,57,76.6833333333333,75,20,0,0,0,0,0,100,100,76.6833333333333,75,60,100,23.2,24
2007,"Femmes","profinter",27,33.75,100,100,54.1481481481481,55,55.5443996684047,52.9411764705882,7.40740740740741,0,0,0,100,100,96.2962962962963,100,52.2816130722848,52.1739130434783,59.2592592592593,100,16.8148148148148,17
2007,"Femmes","proflib",16,17.0212765957447,100,100,56.4375,58,47.1936470300297,44.9579831932773,6.25,0,100,100,0,0,93.75,100,46.0907058535591,41.4285714285714,43.75,0,15.4375,12
2007,"Hommes","agri",16,88.8888888888889,0,0,55.0625,56.5,66.0113125230402,68.5714285714286,0,0,100,100,0,0,93.75,100,66.0113125230402,68.5714285714286,37.5,0,19.4375,22
2007,"Hommes","artisancommercantpdg",34,91.8918918918919,0,0,55.5588235294118,56.5,65.4524517709423,67.2619047619048,8.82352941176471,0,100,100,0,0,100,100,64.1352069242857,66.6666666666667,20.5882352941176,0,20.0294117647059,19.5
2007,"Hommes","cadsupprive",83,83,0,0,55.9156626506024,56,70.1675717616191,75,14.4578313253012,0,100,100,0,0,98.7951807228916,100,68.99338710549,72.7272727272727,15.6626506024096,0,21.3855421686747,24
2007,"Hommes","cadsuppub",163,83.1632653061225,0,0,56.4907975460123,58,66.4311314422636,67.8571428571429,35.5828220858896,0,100,100,0,0,96.319018404908,100,63.2563856893024,63.6363636363636,24.5398773006135,0,20.8588957055215,21
2007,"Hommes","collab",77,83.695652173913,0,0,49.3376623376623,50,86.7713954089094,93.0232558139535,93.5064935064935,100,0,0,0,0,96.1038961038961,100,67.7678061142295,73.5294117647059,28.5714285714286,0,21.2337662337662,22
2007,"Hommes","employe",3,37.5,0,0,58,61,72.8921228921229,83.3333333333333,0,0,0,0,100,100,100,100,72.8921228921229,83.3333333333333,33.3333333333333,0,25,30
2007,"Hommes","NA",4,44.4444444444444,0,0,45.5,46,59.7222222222222,69.4444444444445,25,0,0,0,0,0,75,100,52.0299145299145,54.059829059829,50,50,13.25,14.5
2007,"Hommes","ouvrier",5,100,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"Hommes","profinter",53,66.25,0,0,55.7169811320755,58,71.476173459898,75,11.3207547169811,0,0,0,100,100,98.1132075471698,100,71.2166845211638,75,28.3018867924528,0,22.1132075471698,24
2007,"Hommes","proflib",78,82.9787234042553,0,0,57.2820512820513,57,65.7966298876007,66.6666666666667,10.2564102564103,0,100,100,0,0,97.4358974358974,100,64.461095238105,66.6666666666667,20.5128205128205,0,21.0641025641026,22
2007,"Total","agri",18,100,11.1111111111111,0,54.9444444444444,56.5,61.2502516544671,65.8646616541354,0,0,100,100,0,0,94.4444444444444,100,61.2502516544671,65.8646616541354,44.4444444444444,0,17.9444444444444,19.5
2007,"Total","artisancommercantpdg",37,100,8.10810810810811,0,55.3783783783784,56,64.1765567046204,66.6666666666667,8.10810810810811,0,100,100,0,0,100,100,62.9661154941792,64.2857142857143,27.027027027027,0,19.5405405405405,19
2007,"Total","cadsupprive",100,100,17,0,54.67,55,66.2485881529766,71.7142857142857,15,0,100,100,0,0,98,100,64.5279831423577,67.5438596491228,21,0,19.57,19
2007,"Total","cadsuppub",196,100,16.8367346938776,0,56.3571428571429,57.5,64.4821380098641,65,33.6734693877551,0,100,100,0,0,94.8979591836735,100,61.1187555147887,62.3310810810811,26.530612244898,0,20.1530612244898,20
2007,"Total","collab",92,100,16.304347826087,0,49.4021739130435,50.5,84.4251004518574,90.1612903225806,92.3913043478261,100,0,0,0,0,94.5652173913043,100,63.3091560357645,69.2307692307692,30.4347826086957,0,20.5217391304348,20.5
2007,"Total","employe",8,100,62.5,100,55.5,55.5,64.6506313275763,69.9095022624435,12.5,0,0,0,100,100,100,100,64.6506313275763,69.9095022624435,12.5,0,19.875,21
2007,"Total","NA",9,100,55.5555555555556,100,51.7777777777778,51,69.1450617283951,75,22.2222222222222,0,0,0,0,0,88.8888888888889,100,65.7262583095916,75,55.5555555555556,100,18.7777777777778,20
2007,"Total","ouvrier",5,100,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"Total","profinter",80,100,33.75,0,55.1875,57,66.099199805269,72.10433244916,10,0,0,0,100,100,97.5,100,64.8260979071671,71.1915535444948,38.75,0,20.325,21.5
2007,"Total","proflib",94,100,17.0212765957447,0,57.1382978723404,57,62.6301647203546,66.6666666666667,9.57446808510638,0,100,100,0,0,96.8085106382979,100,61.3342204492461,64.8529411764706,24.468085106383,0,20.1063829787234,21
2012,"Femmes","agri",5,27.7777777777778,100,100,58.2,57,34.0970222306429,48.2758620689655,0,0,100,100,0,0,80,100,34.0970222306429,48.2758620689655,40,0,11.2,14
