"legis.annee","cabcollab","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"Total","Hommes",581,100,0,0,52.8760757314974,53,61.7744861036921,63.6363636363636,23.5800344234079,0,76.4199655765921,100,15.6626506024096,0,96.5576592082616,100,58.9292874265722,60.8695652173913,34.4234079173838,0,17.1256454388985,16
2007,"Ancien collaborateur","Femmes",29,23.5772357723577,100,100,49.3793103448276,49,67.7116428081134,69.047619047619,100,100,41.3793103448276,0,10.3448275862069,0,86.2068965517241,100,40.0745602765878,33.3333333333333,41.3793103448276,0,15.7586206896552,15
2007,"Ancien collaborateur","Hommes",160,31.0077519379845,0,0,52.35,53,79.5950526673371,85.7142857142857,100,100,50.625,100,3.75,0,95.625,100,65.3969437182691,68.4962406015038,22.5,0,21.3625,21
2007,"Jamais collaborateur","Femmes",94,76.4227642276423,100,100,54.9468085106383,56,51.7602595424068,52.1739130434783,0,0,62.7659574468085,100,30.8510638297872,0,94.6808510638298,100,51.7602595424068,52.1739130434783,47.8723404255319,0,15.7765957446809,15
2007,"Jamais collaborateur","Hommes",356,68.9922480620155,0,0,56.5337078651685,58,66.3873952531693,68.5714285714286,0,0,82.3033707865169,100,15.4494382022472,0,97.752808988764,100,66.3873952531693,68.5714285714286,24.7191011235955,0,20.9803370786517,22
2007,"Total","Femmes",123,100,100,100,53.6341463414634,55,55.5211547839148,58.0645161290323,23.5772357723577,0,57.7235772357724,100,26.0162601626016,0,92.6829268292683,100,49.0050946748559,50,46.3414634146341,0,15.7723577235772,15
2007,"Total","Hommes",516,100,0,0,55.2364341085271,56,70.4827929009733,72.972972972973,31.0077519379845,0,72.4806201550388,100,11.8217054263566,0,97.0930232558139,100,66.0802784981615,68.5714285714286,24.031007751938,0,21.0988372093023,22
2012,"Ancien collaborateur","Femmes",38,22.7544910179641,100,100,49.4736842105263,49.5,71.1447375153657,74.0853658536585,100,100,44.7368421052632,0,10.5263157894737,0,89.4736842105263,100,44.2835630730684,42.3076923076923,50,50,16.6842105263158,14.5
2012,"Ancien collaborateur","Hommes",169,37.0614035087719,0,0,51.2781065088757,51,79.2455642449155,85.7142857142857,100,100,46.1538461538462,0,4.73372781065089,0,95.8579881656805,100,62.2272122430906,63.0434782608696,39.0532544378698,0,20.6686390532544,20
2012,"Jamais collaborateur","Femmes",129,77.2455089820359,100,100,53.8682170542636,56,43.0033924778368,44.2222222222222,0,0,56.5891472868217,100,35.6589147286822,0,87.5968992248062,100,43.0033924778368,44.2222222222222,62.015503875969,100,13.015503875969,11
2012,"Jamais collaborateur","Hommes",287,62.9385964912281,0,0,57.1219512195122,59,63.1420983572072,68.5714285714286,0,0,79.4425087108014,100,18.4668989547038,0,93.7282229965157,100,63.1420983572072,68.5714285714286,32.7526132404181,0,20.8606271777003,23
2012,"Total","Femmes",167,100,100,100,52.8682634730539,54,49.445387124982,50,22.7544910179641,0,53.8922155688623,100,29.940119760479,0,88.0239520958084,100,43.2964435779501,44,59.2814371257485,100,13.8502994011976,12
2012,"Total","Hommes",456,100,0,0,54.9561403508772,56,69.1102688287482,73.2520325203252,37.0614035087719,0,67.1052631578947,100,13.3771929824561,0,94.5175438596491,100,62.8030287228087,66.6666666666667,35.0877192982456,0,20.7894736842105,22.5
2017,"Ancien collaborateur","Femmes",44,19.2982456140351,100,100,44.6590909090909,43,57.5306820114984,61.5789473684211,100,100,36.3636363636364,0,0,0,56.8181818181818,100,25.6211831241114,20.3125,77.2727272727273,100,11.6818181818182,10.5
2017,"Ancien collaborateur","Hommes",101,28.2913165266106,0,0,49.0594059405941,49,76.5478628561508,84,100,100,37.6237623762376,0,4.95049504950495,0,81.1881188118812,100,55.0288390686392,61.5384615384615,49.5049504950495,0,18.6237623762376,19
2017,"Jamais collaborateur","Femmes",184,80.7017543859649,100,100,48.6684782608696,49,19.0470653949348,8.33333333333333,0,0,70.6521739130435,100,26.6304347826087,0,52.7173913043478,100,19.0470653949348,8.33333333333333,85.8695652173913,100,5.40217391304348,2
