"legis.annee","primodep","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"Total","Femmes",73,100,100,100,50.4246575342466,50,48.013519118618,51.7241379310345,24.6575342465753,0,64.3835616438356,100,21.9178082191781,0,82.1917808219178,100,40.1903307212587,42.8571428571429,68.4931506849315,100,12.2876712328767,14
1997,"Total","Hommes",581,100,0,0,52.8760757314974,53,61.7744861036921,63.6363636363636,23.5800344234079,0,76.4199655765921,100,15.6626506024096,0,96.5576592082616,100,58.9292874265722,60.8695652173913,34.4234079173838,0,17.1256454388985,16
2007,"Ancien député","Femmes",66,53.6585365853659,100,100,56.2878787878788,57.5,63.08856853415,68.734335839599,25.7575757575758,0,59.0909090909091,100,24.2424242424242,0,96.969696969697,100,57.6410357545402,60.3571428571428,0,0,19.5151515151515,18.5
2007,"Ancien député","Hommes",392,75.968992248062,0,0,56.8035714285714,57.5,73.0477446503685,75,31.6326530612245,0,74.4897959183673,100,10.969387755102,0,98.2142857142857,100,69.5364095465386,70.1851851851852,0,0,22.9158163265306,24
2007,"Primo-député","Femmes",57,46.3414634146341,100,100,50.5614035087719,50,46.758886231011,44.4444444444444,21.0526315789474,0,56.140350877193,100,28.0701754385965,0,87.719298245614,100,39.005583951011,38.7096774193548,100,100,11.4385964912281,12
2007,"Primo-député","Hommes",124,24.031007751938,0,0,50.2822580645161,51,62.3742357577239,68.5714285714286,29.0322580645161,0,66.1290322580645,100,14.5161290322581,0,93.5483870967742,100,55.1544448613564,58.1168831168831,100,100,15.3548387096774,13.5
2007,"Total","Femmes",123,100,100,100,53.6341463414634,55,55.5211547839148,58.0645161290323,23.5772357723577,0,57.7235772357724,100,26.0162601626016,0,92.6829268292683,100,49.0050946748559,50,46.3414634146341,0,15.7723577235772,15
2007,"Total","Hommes",516,100,0,0,55.2364341085271,56,70.4827929009733,72.972972972973,31.0077519379845,0,72.4806201550388,100,11.8217054263566,0,97.0930232558139,100,66.0802784981615,68.5714285714286,24.031007751938,0,21.0988372093023,22
2012,"Ancien député","Femmes",68,40.7185628742515,100,100,56.3823529411765,58,65.7973055518705,68.0909090909091,27.9411764705882,0,50,50,30.8823529411765,0,97.0588235294118,100,59.4416329408339,58.4770114942528,0,0,20.3382352941176,20
2012,"Ancien député","Hommes",296,64.9122807017544,0,0,58.3006756756757,60,76.1044399498145,77.6388888888889,34.7972972972973,0,72.2972972972973,100,11.8243243243243,0,98.9864864864865,100,72.2288857837389,73.541887592789,0,0,24.9797297297297,25
2012,"Primo-député","Femmes",99,59.2814371257485,100,100,50.4545454545455,51,38.0991580124471,34.9294354838709,19.1919191919192,0,56.5656565656566,100,29.2929292929293,0,81.8181818181818,100,32.0936591220715,31.9642857142857,100,100,9.39393939393939,10
2012,"Primo-député","Hommes",160,35.0877192982456,0,0,48.76875,48,56.1710522547756,61.3247863247863,41.25,0,57.5,100,16.25,0,86.25,100,45.3651931600879,46.8860164512338,100,100,13.0375,12.5
2012,"Total","Femmes",167,100,100,100,52.8682634730539,54,49.445387124982,50,22.7544910179641,0,53.8922155688623,100,29.940119760479,0,88.0239520958084,100,43.2964435779501,44,59.2814371257485,100,13.8502994011976,12
2012,"Total","Hommes",456,100,0,0,54.9561403508772,56,69.1102688287482,73.2520325203252,37.0614035087719,0,67.1052631578947,100,13.3771929824561,0,94.5175438596491,100,62.8030287228087,66.6666666666667,35.0877192982456,0,20.7894736842105,22.5
