"legis.annee","genre","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2022,"Femmes","Ancien élu local",147,34.5070422535211,100,100,51.6462585034014,52,45.5923740682018,40,22.4489795918367,0,59.1836734693878,100,23.1292517006803,0,100,100,41.148387263243,37.9310344827586,53.7414965986395,100,11.9115646258503,8
2022,"Femmes","Jamais élu local",79,46.1988304093567,100,100,45.2151898734177,44,28.0015663991351,18.8746438746439,31.6455696202532,0,58.2278481012658,100,22.7848101265823,0,0,0,14.5757945087734,13.1578947368421,49.3670886075949,0,4.68354430379747,5
2022,"Hommes","Ancien élu local",279,65.4929577464789,0,0,50.741935483871,52,61.7353540158826,60.4347826086956,34.7670250896057,0,58.4229390681004,100,15.4121863799283,0,100,100,55.5343598205461,53.8461538461538,48.0286738351254,0,15.2974910394265,14
2022,"Hommes","Jamais élu local",92,53.8011695906433,0,0,42.4347826086956,40.5,32.5423979291931,20.0700700700701,36.9565217391304,0,67.3913043478261,100,17.3913043478261,0,0,0,16.0713696620331,2.17391304347826,53.2608695652174,100,4.33695652173913,5
2022,"Total","Ancien élu local",426,100,34.5070422535211,0,51.0539906103286,52,56.1517821280966,53.8461538461538,30.5164319248826,0,58.6854460093897,100,18.075117370892,0,100,100,50.5585057830789,50,50,50,14.1291079812207,12
2022,"Total","Jamais élu local",171,100,46.1988304093567,0,43.719298245614,42,30.434154718809,18.8746438746439,34.5029239766082,0,63.1578947368421,100,19.8830409356725,0,0,0,15.3769954837339,8.13748531139835,51.4619883040936,100,4.49707602339181,5
2024,"Femmes","Ancien élu local",135,33.4987593052109,100,100,53.4740740740741,53,52.6145505877032,50,24.4444444444444,0,60.7407407407407,100,19.2592592592593,0,100,100,48.110344135125,47.6190476190476,19.2592592592593,0,14.5703703703704,11
2024,"Femmes","Jamais élu local",70,40.2298850574713,100,100,46.6285714285714,46,32.552339285948,22.2222222222222,35.7142857142857,0,58.5714285714286,100,21.4285714285714,0,0,0,20.1011009962377,16.6666666666667,21.4285714285714,0,5.34285714285714,5
2024,"Hommes","Ancien élu local",268,66.5012406947891,0,0,51.294776119403,53,62.0161433075207,62.0192307692307,35.4477611940299,0,58.5820895522388,100,16.044776119403,0,100,100,55.9277981969679,53.6375661375662,22.7611940298507,0,15.365671641791,13
2024,"Hommes","Jamais élu local",104,59.7701149425287,0,0,42.3846153846154,39,29.0365668561855,20,37.5,0,61.5384615384615,100,19.2307692307692,0,0,0,16.6688598668867,10.5263157894737,36.5384615384615,0,4.01923076923077,2
2024,"Total","Ancien élu local",403,100,33.4987593052109,0,52.0248138957816,53,58.8667263914528,56.4102564102564,31.7617866004963,0,59.3052109181141,100,17.12158808933,0,100,100,53.3090480769957,52.6315789473684,21.5880893300248,0,15.0992555831266,13
2024,"Total","Jamais élu local",174,100,40.2298850574713,0,44.0919540229885,43,30.4805448184094,21.7171717171717,36.7816091954023,0,60.3448275862069,100,20.1149425287356,0,0,0,18.0785303307273,14.2857142857143,30.4597701149425,0,4.55172413793103,2
