"legis.annee","ProfSigni","ProfSigni.1","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"cadsuppub","cadsuppub",234,Inf,12.3931623931624,0,53.7264957264957,54,57.9908536904092,60.3030303030303,29.4871794871795,0,100,100,0,0,94.4444444444444,100,54.4347131848561,57.6923076923077,38.4615384615385,0,16.8717948717949,16
1997,"collab","collab",52,Inf,17.3076923076923,0,45.6538461538462,45,78.581486987879,85.9782608695652,90.3846153846154,100,0,0,0,0,90.3846153846154,100,56.5215994684718,62.0192307692307,40.3846153846154,0,16.3846153846154,16.5
1997,"employe","employe",6,Inf,66.6666666666667,100,53,53,58.6151482925677,55.955334987593,0,0,0,0,100,100,100,100,58.6151482925677,55.955334987593,33.3333333333333,0,16,15
1997,"NA","NA",4,Inf,25,0,42.25,43.5,59.3003565062389,68.3333333333333,0,0,0,0,0,0,100,100,59.3003565062389,68.3333333333333,25,0,11,14
1997,"ouvrier","ouvrier",10,Inf,10,0,54.9,55.5,54.8019073220686,58.3333333333333,0,0,0,0,100,100,90,100,54.8019073220686,58.3333333333333,50,50,17.4,18.5
1997,"profinter","profinter",91,Inf,12.0879120879121,0,52.2197802197802,52,59.9718414195767,65,7.69230769230769,0,0,0,100,100,96.7032967032967,100,59.8497412974766,63.6363636363636,53.8461538461538,100,16.0769230769231,15
1997,"proflib","proflib",103,Inf,8.7378640776699,0,53.621359223301,53,57.1250178510099,56,7.76699029126214,0,100,100,0,0,96.1165048543689,100,56.553215420454,56,32.0388349514563,0,16.6407766990291,14
1997,"Total","Total",654,100,11.1620795107034,0,52.6024464831804,52,60.2384760273765,61.8347338935574,23.7003058103976,0,75.0764525993884,100,16.3608562691131,0,94.954128440367,100,56.8376301796488,58.578637510513,38.2262996941896,0,16.585626911315,16
2007,"agri","agri",18,Inf,11.1111111111111,0,54.9444444444444,56.5,61.2502516544671,65.8646616541354,0,0,100,100,0,0,94.4444444444444,100,61.2502516544671,65.8646616541354,44.4444444444444,0,17.9444444444444,19.5
2007,"artisancommercantpdg","artisancommercantpdg",37,Inf,8.10810810810811,0,55.3783783783784,56,64.1765567046204,66.6666666666667,8.10810810810811,0,100,100,0,0,100,100,62.9661154941792,64.2857142857143,27.027027027027,0,19.5405405405405,19
2007,"cadsupprive","cadsupprive",100,Inf,17,0,54.67,55,66.2485881529766,71.7142857142857,15,0,100,100,0,0,98,100,64.5279831423577,67.5438596491228,21,0,19.57,19
2007,"cadsuppub","cadsuppub",196,Inf,16.8367346938776,0,56.3571428571429,57.5,64.4821380098641,65,33.6734693877551,0,100,100,0,0,94.8979591836735,100,61.1187555147887,62.3310810810811,26.530612244898,0,20.1530612244898,20
2007,"collab","collab",92,Inf,16.304347826087,0,49.4021739130435,50.5,84.4251004518574,90.1612903225806,92.3913043478261,100,0,0,0,0,94.5652173913043,100,63.3091560357645,69.2307692307692,30.4347826086957,0,20.5217391304348,20.5
2007,"employe","employe",8,Inf,62.5,100,55.5,55.5,64.6506313275763,69.9095022624435,12.5,0,0,0,100,100,100,100,64.6506313275763,69.9095022624435,12.5,0,19.875,21
2007,"NA","NA",9,Inf,55.5555555555556,100,51.7777777777778,51,69.1450617283951,75,22.2222222222222,0,0,0,0,0,88.8888888888889,100,65.7262583095916,75,55.5555555555556,100,18.7777777777778,20
2007,"ouvrier","ouvrier",5,Inf,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"profinter","profinter",80,Inf,33.75,0,55.1875,57,66.099199805269,72.10433244916,10,0,0,0,100,100,97.5,100,64.8260979071671,71.1915535444948,38.75,0,20.325,21.5
2007,"proflib","proflib",94,Inf,17.0212765957447,0,57.1382978723404,57,62.6301647203546,66.6666666666667,9.57446808510638,0,100,100,0,0,96.8085106382979,100,61.3342204492461,64.8529411764706,24.468085106383,0,20.1063829787234,21
2007,"Total","Total",639,100,19.2488262910798,0,54.9280125195618,56,67.6028531695207,70.3703703703704,29.5774647887324,0,69.6400625978091,100,14.5539906103286,0,96.2441314553991,100,62.7935060251309,66.6666666666667,28.3255086071987,0,20.0735524256651,20
2012,"agri","agri",18,Inf,27.7777777777778,0,58.1111111111111,57.5,59.0264208840253,65,0,0,100,100,0,0,94.4444444444444,100,59.0264208840253,65,38.8888888888889,0,19.4444444444444,17.5
2012,"artisancommercantpdg","artisancommercantpdg",23,Inf,13.0434782608696,0,55.5652173913044,57,57.251463878233,58.974358974359,4.34782608695652,0,100,100,0,0,100,100,57.251463878233,58.974358974359,26.0869565217391,0,18.0434782608696,21
2012,"cadsupprive","cadsupprive",108,Inf,18.5185185185185,0,54.287037037037,54,64.4876655215605,69.8896631823461,27.7777777777778,0,100,100,0,0,88.8888888888889,100,60.204722472295,65.821566110398,38.8888888888889,0,19.5,22
2012,"cadsuppub","cadsuppub",169,Inf,27.810650887574,0,54.6331360946746,56,60.1215252448928,66.6666666666667,33.7278106508876,0,100,100,0,0,92.3076923076923,100,56.2229357873978,60.5263157894737,44.3786982248521,0,18.396449704142,18
2012,"collab","collab",102,Inf,18.6274509803922,0,47.4705882352941,46.5,82.7937619203531,88.5164835164836,95.0980392156863,100,0,0,0,0,93.1372549019608,100,57.7975767856913,57.9796264855688,48.0392156862745,0,18.8333333333333,17
2012,"employe","employe",6,Inf,33.3333333333333,0,56.5,57,35.3033731913042,37.0726495726496,0,0,0,0,100,100,83.3333333333333,100,35.3033731913042,37.0726495726496,33.3333333333333,0,11.5,11
2012,"NA","NA",14,Inf,57.1428571428571,100,54.7857142857143,56.5,60.9327593802644,56.6666666666667,21.4285714285714,0,0,0,0,0,85.7142857142857,100,58.9476477177334,56.6666666666667,50,50,18.2142857142857,17.5
