"legis.annee","primodep","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"Total","employe",6,100,66.6666666666667,100,53,53,58.6151482925677,55.955334987593,0,0,0,0,100,100,100,100,58.6151482925677,55.955334987593,33.3333333333333,0,16,15
1997,"Total","NA",4,100,25,0,42.25,43.5,59.3003565062389,68.3333333333333,0,0,0,0,0,0,100,100,59.3003565062389,68.3333333333333,25,0,11,14
1997,"Total","ouvrier",10,100,10,0,54.9,55.5,54.8019073220686,58.3333333333333,0,0,0,0,100,100,90,100,54.8019073220686,58.3333333333333,50,50,17.4,18.5
1997,"Total","profinter",91,100,12.0879120879121,0,52.2197802197802,52,59.9718414195767,65,7.69230769230769,0,0,0,100,100,96.7032967032967,100,59.8497412974766,63.6363636363636,53.8461538461538,100,16.0769230769231,15
1997,"Total","proflib",103,100,8.7378640776699,0,53.621359223301,53,57.1250178510099,56,7.76699029126214,0,100,100,0,0,96.1165048543689,100,56.553215420454,56,32.0388349514563,0,16.6407766990291,14
2007,"Ancien député","agri",10,55.5555555555556,0,0,54.9,56.5,70.4508228695872,70.7681365576102,0,0,100,100,0,0,100,100,70.4508228695872,70.7681365576102,0,0,21,19.5
2007,"Ancien député","artisancommercantpdg",27,72.972972972973,0,0,57.8888888888889,58,69.1368067339474,67.8571428571429,11.1111111111111,0,100,100,0,0,100,100,67.4780539640835,66.6666666666667,0,0,22.6296296296296,24
2007,"Ancien député","cadsupprive",79,79,11.3924050632911,0,55.9240506329114,56,69.3274609763234,75,15.1898734177215,0,100,100,0,0,98.7341772151899,100,67.9571954414833,72,0,0,21,21
2007,"Ancien député","cadsuppub",144,73.469387755102,14.5833333333333,0,58.0208333333333,59,68.423073956612,68.768472906404,35.4166666666667,0,100,100,0,0,95.8333333333333,100,65.2986048645314,64.7853736089031,0,0,22.4375,23.5
2007,"Ancien député","collab",64,69.5652173913043,14.0625,0,52.90625,53.5,88.1378120769676,92.6654740608229,95.3125,100,0,0,0,0,100,100,72.9556727701378,75.3378378378379,0,0,24.375,24
2007,"Ancien député","employe",7,87.5,71.4285714285714,100,56.1428571428571,56,67.2930292095377,70.5882352941177,14.2857142857143,0,0,0,100,100,100,100,67.2930292095377,70.5882352941177,0,0,21,24
2007,"Ancien député","NA",4,44.4444444444444,50,50,48.75,48.5,90.9722222222222,94.4444444444445,25,0,0,0,0,0,100,100,90.9722222222222,94.4444444444445,0,0,21,22
2007,"Ancien député","ouvrier",3,60,0,0,65,67,95.2380952380952,100,0,0,0,0,100,100,100,100,95.2380952380952,100,0,0,38,36
2007,"Ancien député","profinter",49,61.25,22.4489795918367,0,56.5714285714286,58,73.3484381100085,77.2727272727273,14.2857142857143,0,0,0,100,100,100,100,71.6100404532435,76.9230769230769,0,0,23.1428571428571,24
2007,"Ancien député","proflib",71,75.531914893617,12.6760563380282,0,58.5352112676056,60,63.9721060481399,66.6666666666667,7.04225352112676,0,100,100,0,0,97.1830985915493,100,62.8991303856236,66.6666666666667,0,0,21.4225352112676,22
2007,"Primo-député","agri",8,44.4444444444444,25,0,55,55.5,49.7495376355671,53.0357142857143,0,0,100,100,0,0,87.5,100,49.7495376355671,53.0357142857143,100,100,14.125,16
2007,"Primo-député","artisancommercantpdg",10,27.027027027027,30,0,48.6,50.5,50.7838816254376,42.4317617866005,0,0,100,100,0,0,100,100,50.7838816254376,42.4317617866005,100,100,11.2,12
2007,"Primo-député","cadsupprive",21,21,38.0952380952381,0,49.9523809523809,47,54.6661618175291,60,14.2857142857143,0,100,100,0,0,95.2380952380952,100,51.6276130646946,54.5454545454545,100,100,14.1904761904762,12
2007,"Primo-député","cadsuppub",52,26.530612244898,23.0769230769231,0,51.75,51.5,53.5687769265621,54.5454545454545,28.8461538461538,0,100,100,0,0,92.3076923076923,100,49.5437880847322,50.8620689655173,100,100,13.8269230769231,12
2007,"Primo-député","collab",28,30.4347826086957,21.4285714285714,0,41.3928571428571,39.5,75.9389024516056,80.3225806451613,85.7142857142857,100,0,0,0,0,82.1428571428571,100,41.2599749286253,40.4545454545455,100,100,11.7142857142857,9.5
2007,"Primo-député","employe",1,12.5,0,0,51,51,46.1538461538462,46.1538461538462,0,0,0,0,100,100,100,100,46.1538461538462,46.1538461538462,100,100,12,12
2007,"Primo-député","NA",5,55.5555555555556,60,100,54.2,51,51.6833333333333,50,20,0,0,0,0,0,80,100,45.5294871794872,48,100,100,17,13
2007,"Primo-député","ouvrier",2,40,0,0,56,56,45.1612903225806,45.1612903225806,0,0,0,0,100,100,100,100,45.1612903225806,45.1612903225806,100,100,14,14
2007,"Primo-député","profinter",31,38.75,51.6129032258064,100,53,54,54.640726355842,57.1428571428571,3.2258064516129,0,0,0,100,100,93.5483870967742,100,54.1030919472399,57.1428571428571,100,100,15.8709677419355,12
2007,"Primo-député","proflib",23,24.468085106383,30.4347826086957,0,52.8260869565217,54,58.4876501867566,52.1739130434783,17.3913043478261,0,100,100,0,0,95.6521739130435,100,56.5034115152114,52.1739130434783,100,100,16.0434782608696,18
2007,"Total","agri",18,100,11.1111111111111,0,54.9444444444444,56.5,61.2502516544671,65.8646616541354,0,0,100,100,0,0,94.4444444444444,100,61.2502516544671,65.8646616541354,44.4444444444444,0,17.9444444444444,19.5
2007,"Total","artisancommercantpdg",37,100,8.10810810810811,0,55.3783783783784,56,64.1765567046204,66.6666666666667,8.10810810810811,0,100,100,0,0,100,100,62.9661154941792,64.2857142857143,27.027027027027,0,19.5405405405405,19
2007,"Total","cadsupprive",100,100,17,0,54.67,55,66.2485881529766,71.7142857142857,15,0,100,100,0,0,98,100,64.5279831423577,67.5438596491228,21,0,19.57,19
2007,"Total","cadsuppub",196,100,16.8367346938776,0,56.3571428571429,57.5,64.4821380098641,65,33.6734693877551,0,100,100,0,0,94.8979591836735,100,61.1187555147887,62.3310810810811,26.530612244898,0,20.1530612244898,20
2007,"Total","collab",92,100,16.304347826087,0,49.4021739130435,50.5,84.4251004518574,90.1612903225806,92.3913043478261,100,0,0,0,0,94.5652173913043,100,63.3091560357645,69.2307692307692,30.4347826086957,0,20.5217391304348,20.5
2007,"Total","employe",8,100,62.5,100,55.5,55.5,64.6506313275763,69.9095022624435,12.5,0,0,0,100,100,100,100,64.6506313275763,69.9095022624435,12.5,0,19.875,21
2007,"Total","NA",9,100,55.5555555555556,100,51.7777777777778,51,69.1450617283951,75,22.2222222222222,0,0,0,0,0,88.8888888888889,100,65.7262583095916,75,55.5555555555556,100,18.7777777777778,20
2007,"Total","ouvrier",5,100,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"Total","profinter",80,100,33.75,0,55.1875,57,66.099199805269,72.10433244916,10,0,0,0,100,100,97.5,100,64.8260979071671,71.1915535444948,38.75,0,20.325,21.5
2007,"Total","proflib",94,100,17.0212765957447,0,57.1382978723404,57,62.6301647203546,66.6666666666667,9.57446808510638,0,100,100,0,0,96.8085106382979,100,61.3342204492461,64.8529411764706,24.468085106383,0,20.1063829787234,21
2012,"Ancien député","agri",11,61.1111111111111,27.2727272727273,0,59.9090909090909,60,63.9738406137889,65.7142857142857,0,0,100,100,0,0,100,100,63.9738406137889,65.7142857142857,0,0,22,23
2012,"Ancien député","artisancommercantpdg",17,73.9130434782609,11.7647058823529,0,58.5294117647059,58,65.6018560056187,69.6969696969697,5.88235294117647,0,100,100,0,0,100,100,65.6018560056187,69.6969696969697,0,0,21.7647058823529,23
2012,"Ancien député","cadsupprive",66,61.1111111111111,10.6060606060606,0,57.5454545454545,59,78.2707522712425,80.4761904761905,27.2727272727273,0,100,100,0,0,98.4848484848485,100,76.766531777394,79.3103448275862,0,0,24.9242424242424,23
2012,"Ancien député","cadsuppub",94,55.6213017751479,15.9574468085106,0,58.6914893617021,60,72.8332704111917,73.1707317073171,40.4255319148936,0,100,100,0,0,98.936170212766,100,68.8172266203193,68.9010989010989,0,0,24.4468085106383,24
2012,"Ancien député","collab",53,51.9607843137255,16.9811320754717,0,52.188679245283,53,88.8471223174142,90.3225806451613,96.2264150943396,100,0,0,0,0,98.1132075471698,100,69.7149331991378,76.9230769230769,0,0,24.0754716981132,25
2012,"Ancien député","employe",4,66.6666666666667,25,0,55.25,55.5,40.333485958486,38.1944444444444,0,0,0,0,100,100,75,100,40.333485958486,38.1944444444444,0,0,12.5,11
2012,"Ancien député","NA",7,50,57.1428571428571,100,55.8571428571429,56,83.9215396271848,90.625,28.5714285714286,0,0,0,0,0,100,100,80.2349036824843,90.625,0,0,25.7142857142857,25
