"legis.annee","groupe.pol","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"RPR/UMP/LR","Hommes",311,60.2713178294574,0,0,54.9581993569132,56,68.285670697202,69.2307692307692,29.2604501607717,0,77.491961414791,100,7.07395498392283,0,96.7845659163987,100,64.3916136682758,66.6666666666667,21.5434083601286,0,20.3601286173633,21
2007,"Socialiste","Femmes",57,46.3414634146341,100,100,53.3333333333333,55,56.8472154059936,62.0689655172414,24.5614035087719,0,57.8947368421053,100,29.8245614035088,0,91.2280701754386,100,47.2133410070095,46.6666666666667,57.8947368421053,100,15.7543859649123,16
2007,"Socialiste","Hommes",153,29.6511627906977,0,0,55.718954248366,57,73.1977706104232,78.9473684210526,37.9084967320261,0,66.6666666666667,100,15.0326797385621,0,97.3856209150327,100,67.270587498037,71.4285714285714,29.4117647058824,0,22.1699346405229,24
2007,"Total","Femmes",123,100,100,100,53.6341463414634,55,55.5211547839148,58.0645161290323,23.5772357723577,0,57.7235772357724,100,26.0162601626016,0,92.6829268292683,100,49.0050946748559,50,46.3414634146341,0,15.7723577235772,15
2007,"Total","Hommes",516,100,0,0,55.2364341085271,56,70.4827929009733,72.972972972973,31.0077519379845,0,72.4806201550388,100,11.8217054263566,0,97.0930232558139,100,66.0802784981615,68.5714285714286,24.031007751938,0,21.0988372093023,22
2007,"UDF/MODEM/UDI/NC/Dém","Femmes",1,0.813008130081301,100,100,75,75,66.6666666666667,66.6666666666667,0,0,0,0,0,0,100,100,66.6666666666667,66.6666666666667,100,100,30,30
2007,"UDF/MODEM/UDI/NC/Dém","Hommes",25,4.84496124031008,0,0,53.2,53,72.6157578810936,73.3333333333333,28,0,80,100,4,0,96,100,69.4747640922738,73.3333333333333,16,0,19.52,18
2012,"Communiste","Femmes",3,1.79640718562874,100,100,63.3333333333333,63,79.6586059743955,81.0810810810811,0,0,33.3333333333333,0,33.3333333333333,0,100,100,79.6586059743955,81.0810810810811,0,0,30.6666666666667,30
2012,"Communiste","Hommes",12,2.63157894736842,0,0,60.25,61,69.5639231821349,80.9022556390977,16.6666666666667,0,50,50,33.3333333333333,0,100,100,66.2943857020712,74.2857142857143,41.6666666666667,0,25.0833333333333,26
2012,"Écologiste","Femmes",9,5.38922155688623,100,100,50.3333333333333,52,29.9724854053019,32.5,11.1111111111111,0,77.7777777777778,100,11.1111111111111,0,44.4444444444444,0,20.7132261460427,0,100,100,6.88888888888889,8
2012,"Écologiste","Hommes",9,1.97368421052632,0,0,48.5555555555556,50,58.1115247159872,58.974358974359,33.3333333333333,0,44.4444444444444,0,22.2222222222222,0,88.8888888888889,100,48.9331867141198,48.2758620689655,77.7777777777778,100,12.8888888888889,14
2012,"Non-inscrits","Femmes",3,1.79640718562874,100,100,41,49,86.3782051282051,86.3782051282051,33.3333333333333,0,33.3333333333333,0,0,0,66.6666666666667,100,86.3782051282051,86.3782051282051,33.3333333333333,0,14.3333333333333,20
