"legis.annee","elu.local","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2017,"Ancien élu local","Ancien collaborateur",107,73.7931034482759,23.3644859813084,0,50.5327102803738,51,80.2337660013551,86.6666666666667,100,100,30.8411214953271,0,1.86915887850467,0,100,100,61.4451404782129,61.9047619047619,46.7289719626168,0,20.1682242990654,20
2017,"Ancien élu local","Jamais collaborateur",282,64.0909090909091,34.3971631205674,0,53.2021276595745,53,47.7722271874912,45,0,0,75.886524822695,100,20.2127659574468,0,100,100,47.7722271874912,45,64.8936170212766,100,13.9078014184397,9
2017,"Jamais élu local","Ancien collaborateur",38,26.2068965517241,50,50,39.8157894736842,39,44.1492419692675,36.1111111111111,100,100,55.2631578947368,100,7.89473684210526,0,0,0,2.91091505854419,0,89.4736842105263,100,6.23684210526316,5
2017,"Jamais élu local","Jamais collaborateur",158,35.9090909090909,55.0632911392405,100,43.1455696202532,42,0.249802645096406,0,0,0,84.1772151898734,100,14.5569620253165,0,0,0,0.249802645096406,0,98.7341772151899,100,0.0569620253164557,0
2017,"Total","Ancien collaborateur",145,100,30.3448275862069,0,47.7241379310345,48,70.7771321170838,80,100,100,37.2413793103448,0,3.44827586206897,0,73.7931034482759,100,46.1051365751273,50,57.9310344827586,100,16.5172413793103,16
2017,"Total","Jamais collaborateur",440,100,41.8181818181818,0,49.5909090909091,50,30.6989533816423,21.4285714285714,0,0,78.8636363636364,100,18.1818181818182,0,64.0909090909091,100,30.6989533816423,21.4285714285714,77.0454545454545,100,8.93409090909091,3.5
2022,"Ancien élu local","Ancien collaborateur",130,68.7830687830688,25.3846153846154,0,47.1153846153846,49,76.4701673958889,84.3076923076923,100,100,30.7692307692308,0,3.07692307692308,0,100,100,58.1844562679466,58.6538461538461,46.1538461538462,0,16.3692307692308,14
2022,"Ancien élu local","Jamais collaborateur",296,72.5490196078431,38.5135135135135,0,52.7837837837838,53,47.1979174338152,46.6666666666667,0,0,70.945945945946,100,24.6621621621622,0,100,100,47.1979174338152,46.6666666666667,51.6891891891892,100,13.1452702702703,10
2022,"Jamais élu local","Ancien collaborateur",59,31.2169312169312,42.3728813559322,0,41.1525423728814,38,55.4129112421207,50,100,100,45.7627118644068,0,8.47457627118644,0,0,0,12.5382883354663,0,62.7118644067797,100,7.86440677966102,6
2022,"Jamais élu local","Jamais collaborateur",112,27.4509803921569,48.2142857142857,0,45.0714285714286,44,16.913543389677,13.5135135135135,0,0,72.3214285714286,100,25.8928571428571,0,0,0,16.913543389677,13.5135135135135,45.5357142857143,0,2.72321428571429,5
2022,"Total","Ancien collaborateur",189,100,30.6878306878307,0,45.2539682539683,45,69.896738226194,79.1666666666667,100,100,35.4497354497354,0,4.76190476190476,0,68.7830687830688,100,43.9351234212993,47.0588235294118,51.3227513227513,100,13.7142857142857,10
2022,"Total","Jamais collaborateur",408,100,41.1764705882353,0,50.6666666666667,51,39.0271333476492,35.4497354497355,0,0,71.3235294117647,100,25,0,72.5490196078431,100,39.0271333476492,35.4497354497355,50,50,10.2843137254902,8
2024,"Ancien élu local","Ancien collaborateur",128,66.6666666666667,25.78125,0,47.328125,49,79.1985742190558,85.7142857142857,100,100,32.8125,0,3.90625,0,100,100,61.7005714008823,64.1428571428572,22.65625,0,17.1796875,15.5
2024,"Ancien élu local","Jamais collaborateur",275,71.4285714285714,37.0909090909091,0,54.2109090909091,55,49.4031754026048,47.0588235294118,0,0,71.6363636363636,100,23.2727272727273,0,100,100,49.4031754026048,47.0588235294118,21.0909090909091,0,14.1309090909091,10
2024,"Jamais élu local","Ancien collaborateur",64,33.3333333333333,39.0625,0,40.328125,37,54.0520382285041,51.4285714285714,100,100,46.875,0,4.6875,0,0,0,19.8956704591501,16.6666666666667,35.9375,0,7.25,5.5
2024,"Jamais élu local","Jamais collaborateur",110,28.5714285714286,40.9090909090909,0,46.2818181818182,46,17.042590631346,11.7647058823529,0,0,68.1818181818182,100,29.0909090909091,0,0,0,17.042590631346,11.7647058823529,27.2727272727273,0,2.98181818181818,2
2024,"Total","Ancien collaborateur",192,100,30.2083333333333,0,44.9947916666667,44,71.0824964654914,77.7777777777778,100,100,37.5,0,4.16666666666667,0,66.6666666666667,100,48.2079843244502,50,27.0833333333333,0,13.8697916666667,11
2024,"Total","Jamais collaborateur",385,100,38.1818181818182,0,51.9454545454545,53,40.3388231237444,38.6752136752137,0,0,70.6493506493507,100,24.9350649350649,0,71.4285714285714,100,40.3388231237444,38.6752136752137,22.8571428571429,0,10.9454545454545,9
