"legis.annee","ProfSigni","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"profinter","Femmes",5,23.8095238095238,100,100,50.4,49,21.3419913419913,14.2857142857143,0,0,0,0,100,100,80,100,21.3419913419913,14.2857142857143,100,100,5.2,2
1978,"profinter","Hommes",72,13.9805825242718,0,0,50.1666666666667,52.5,48.3713994254627,42.4242424242424,6.94444444444444,0,0,0,100,100,90.2777777777778,100,47.4244898535531,42.4242424242424,41.6666666666667,0,12.1944444444444,10
1978,"proflib","Femmes",2,9.52380952380952,100,100,32,32,50,50,0,0,100,100,0,0,50,50,50,50,100,100,3,3
1978,"proflib","Hommes",101,19.6116504854369,0,0,54.3069306930693,56,50.3384820550424,54.8387096774194,1.98019801980198,0,100,100,0,0,81.1881188118812,100,50.1070303384422,54.8387096774194,26.7326732673267,0,14.4554455445545,13
1978,"Total","Femmes",21,100,100,100,47.4761904761905,48,32.5965147480729,21.875,0,0,38.0952380952381,0,52.3809523809524,100,71.4285714285714,100,32.5965147480729,21.875,66.6666666666667,100,7.71428571428571,5
1978,"Total","Hommes",515,100,0,0,51.3572815533981,53,46.5444341212008,44.8275862068966,14.7572815533981,0,74.368932038835,100,23.3009708737864,0,80.5825242718447,100,44.5161976020871,43.4782608695652,37.8640776699029,0,12.2504854368932,11
1997,"agri","Hommes",18,3.09810671256454,0,0,55.6111111111111,56.5,69.2796236830615,78.4615384615385,0,0,100,100,0,0,94.4444444444444,100,69.2796236830615,78.4615384615385,27.7777777777778,0,21.1111111111111,20
1997,"artisancommercantpdg","Femmes",2,2.73972602739726,100,100,48.5,48.5,33.5144927536232,33.5144927536232,0,0,100,100,0,0,100,100,33.5144927536232,33.5144927536232,100,100,8,8
1997,"artisancommercantpdg","Hommes",36,6.19621342512909,0,0,53.3611111111111,55,58.2173421024352,52.7777777777778,5.55555555555556,0,100,100,0,0,94.4444444444444,100,57.7122915973846,52.7777777777778,33.3333333333333,0,16.5277777777778,15
1997,"cadsupprive","Femmes",7,9.58904109589041,100,100,54.8571428571429,50,45.0265253388177,39.5348837209302,28.5714285714286,0,100,100,0,0,85.7142857142857,100,43.859858672151,39.5348837209302,42.8571428571429,0,13.8571428571429,17
1997,"cadsupprive","Hommes",91,15.6626506024096,0,0,52.1098901098901,52,60.8414091569283,60,21.978021978022,0,100,100,0,0,96.7032967032967,100,59.2090255437587,58.3333333333333,29.6703296703297,0,16.1318681318681,15
1997,"cadsuppub","Femmes",29,39.7260273972603,100,100,49,49,42.0884310501784,40,34.4827586206897,0,100,100,0,0,68.9655172413793,100,32.9885960193089,30,79.3103448275862,100,10.2068965517241,9
1997,"cadsuppub","Hommes",205,35.2839931153184,0,0,54.3951219512195,54,60.2404646980516,62.5,28.780487804878,0,100,100,0,0,98.0487804878049,100,57.4685541497384,60.6060606060606,32.6829268292683,0,17.8146341463415,18
1997,"collab","Femmes",9,12.3287671232877,100,100,46.1111111111111,48,59.4733081563745,65,66.6666666666667,100,0,0,0,0,66.6666666666667,100,26.2476558846696,30.4347826086957,66.6666666666667,100,13.7777777777778,15
1997,"collab","Hommes",43,7.40103270223752,0,0,45.5581395348837,45,82.5808732549381,87.5,95.3488372093023,100,0,0,0,0,95.3488372093023,100,62.8580062650816,66.6666666666667,34.8837209302326,0,16.9302325581395,17
1997,"employe","Femmes",4,5.47945205479452,100,100,52.75,53,54.1758241758242,51.9230769230769,0,0,0,0,100,100,100,100,54.1758241758242,51.9230769230769,25,0,14.5,14.5
1997,"employe","Hommes",2,0.344234079173838,0,0,53.5,53.5,67.4937965260546,67.4937965260546,0,0,0,0,100,100,100,100,67.4937965260546,67.4937965260546,50,50,19,19
1997,"NA","Femmes",1,1.36986301369863,100,100,46,46,66.6666666666667,66.6666666666667,0,0,0,0,0,0,100,100,66.6666666666667,66.6666666666667,0,0,14,14
1997,"NA","Hommes",3,0.516351118760757,0,0,41,42,56.8449197860963,70,0,0,0,0,0,0,100,100,56.8449197860963,70,33.3333333333333,0,10,14
1997,"ouvrier","Femmes",1,1.36986301369863,100,100,55,55,56.6666666666667,56.6666666666667,0,0,0,0,100,100,100,100,56.6666666666667,56.6666666666667,0,0,17,17
1997,"ouvrier","Hommes",9,1.54905335628227,0,0,54.8888888888889,56,54.5947118393355,60,0,0,0,0,100,100,88.8888888888889,100,54.5947118393355,60,55.5555555555556,100,17.4444444444444,20
1997,"profinter","Femmes",11,15.0684931506849,100,100,51.9090909090909,51,49.2145911574833,53.3333333333333,0,0,0,0,100,100,100,100,49.2145911574833,53.3333333333333,90.9090909090909,100,12.7272727272727,14
1997,"profinter","Hommes",80,13.7693631669535,0,0,52.2625,52,61.4509633306146,66.6666666666667,8.75,0,0,0,100,100,96.25,100,61.3120744417257,66.0256410256411,48.75,0,16.5375,15
