"legis.annee","cabcollab","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2017,"Ancien collaborateur","Ancien élu local",107,27.5064267352185,23.3644859813084,0,50.5327102803738,51,80.2337660013551,86.6666666666667,100,100,30.8411214953271,0,1.86915887850467,0,100,100,61.4451404782129,61.9047619047619,46.7289719626168,0,20.1682242990654,20
2017,"Ancien collaborateur","Jamais élu local",38,19.3877551020408,50,50,39.8157894736842,39,44.1492419692675,36.1111111111111,100,100,55.2631578947368,100,7.89473684210526,0,0,0,2.91091505854419,0,89.4736842105263,100,6.23684210526316,5
2017,"Jamais collaborateur","Ancien élu local",282,72.4935732647815,34.3971631205674,0,53.2021276595745,53,47.7722271874912,45,0,0,75.886524822695,100,20.2127659574468,0,100,100,47.7722271874912,45,64.8936170212766,100,13.9078014184397,9
2017,"Jamais collaborateur","Jamais élu local",158,80.6122448979592,55.0632911392405,100,43.1455696202532,42,0.249802645096406,0,0,0,84.1772151898734,100,14.5569620253165,0,0,0,0.249802645096406,0,98.7341772151899,100,0.0569620253164557,0
2017,"Total","Ancien élu local",389,100,31.3624678663239,0,52.4678663239075,53,56.7473813298257,58.3333333333333,27.5064267352185,0,63.4961439588689,100,15.1670951156812,0,100,100,51.5525933944866,51.6129032258065,59.8971722365039,100,15.6298200514139,16
2017,"Total","Jamais élu local",196,100,54.0816326530612,100,42.5,41,8.80456518006308,0,19.3877551020408,0,78.5714285714286,100,13.265306122449,0,0,0,0.768378397460591,0,96.9387755102041,100,1.25510204081633,0
2022,"Ancien collaborateur","Ancien élu local",130,30.5164319248826,25.3846153846154,0,47.1153846153846,49,76.4701673958889,84.3076923076923,100,100,30.7692307692308,0,3.07692307692308,0,100,100,58.1844562679466,58.6538461538461,46.1538461538462,0,16.3692307692308,14
2022,"Ancien collaborateur","Jamais élu local",59,34.5029239766082,42.3728813559322,0,41.1525423728814,38,55.4129112421207,50,100,100,45.7627118644068,0,8.47457627118644,0,0,0,12.5382883354663,0,62.7118644067797,100,7.86440677966102,6
2022,"Jamais collaborateur","Ancien élu local",296,69.4835680751174,38.5135135135135,0,52.7837837837838,53,47.1979174338152,46.6666666666667,0,0,70.945945945946,100,24.6621621621622,0,100,100,47.1979174338152,46.6666666666667,51.6891891891892,100,13.1452702702703,10
2022,"Jamais collaborateur","Jamais élu local",112,65.4970760233918,48.2142857142857,0,45.0714285714286,44,16.913543389677,13.5135135135135,0,0,72.3214285714286,100,25.8928571428571,0,0,0,16.913543389677,13.5135135135135,45.5357142857143,0,2.72321428571429,5
2022,"Total","Ancien élu local",426,100,34.5070422535211,0,51.0539906103286,52,56.1517821280966,53.8461538461538,30.5164319248826,0,58.6854460093897,100,18.075117370892,0,100,100,50.5585057830789,50,50,50,14.1291079812207,12
2022,"Total","Jamais élu local",171,100,46.1988304093567,0,43.719298245614,42,30.434154718809,18.8746438746439,34.5029239766082,0,63.1578947368421,100,19.8830409356725,0,0,0,15.3769954837339,8.13748531139835,51.4619883040936,100,4.49707602339181,5
2024,"Ancien collaborateur","Ancien élu local",128,31.7617866004963,25.78125,0,47.328125,49,79.1985742190558,85.7142857142857,100,100,32.8125,0,3.90625,0,100,100,61.7005714008823,64.1428571428572,22.65625,0,17.1796875,15.5
2024,"Ancien collaborateur","Jamais élu local",64,36.7816091954023,39.0625,0,40.328125,37,54.0520382285041,51.4285714285714,100,100,46.875,0,4.6875,0,0,0,19.8956704591501,16.6666666666667,35.9375,0,7.25,5.5
2024,"Jamais collaborateur","Ancien élu local",275,68.2382133995037,37.0909090909091,0,54.2109090909091,55,49.4031754026048,47.0588235294118,0,0,71.6363636363636,100,23.2727272727273,0,100,100,49.4031754026048,47.0588235294118,21.0909090909091,0,14.1309090909091,10
2024,"Jamais collaborateur","Jamais élu local",110,63.2183908045977,40.9090909090909,0,46.2818181818182,46,17.042590631346,11.7647058823529,0,0,68.1818181818182,100,29.0909090909091,0,0,0,17.042590631346,11.7647058823529,27.2727272727273,0,2.98181818181818,2
2024,"Total","Ancien élu local",403,100,33.4987593052109,0,52.0248138957816,53,58.8667263914528,56.4102564102564,31.7617866004963,0,59.3052109181141,100,17.12158808933,0,100,100,53.3090480769957,52.6315789473684,21.5880893300248,0,15.0992555831266,13
2024,"Total","Jamais élu local",174,100,40.2298850574713,0,44.0919540229885,43,30.4805448184094,21.7171717171717,36.7816091954023,0,60.3448275862069,100,20.1149425287356,0,0,0,18.0785303307273,14.2857142857143,30.4597701149425,0,4.55172413793103,2
