"legis.annee","elu.local","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"Total","proflib",103,100,8.7378640776699,0,53.621359223301,53,57.1250178510099,56,7.76699029126214,0,100,100,0,0,96.1165048543689,100,56.553215420454,56,32.0388349514563,0,16.6407766990291,14
2007,"Ancien élu local","agri",17,94.4444444444444,11.7647058823529,0,54.5882352941176,55,64.8532076341417,68.5714285714286,0,0,100,100,0,0,100,100,64.8532076341417,68.5714285714286,41.1764705882353,0,19,21
2007,"Ancien élu local","artisancommercantpdg",37,100,8.10810810810811,0,55.3783783783784,56,64.1765567046204,66.6666666666667,8.10810810810811,0,100,100,0,0,100,100,62.9661154941792,64.2857142857143,27.027027027027,0,19.5405405405405,19
2007,"Ancien élu local","cadsupprive",98,98,16.3265306122449,0,54.9285714285714,55,67.0903960744659,72.3636363636363,14.2857142857143,0,100,100,0,0,100,100,65.5614340454897,68.8259109311741,20.4081632653061,0,19.8775510204082,19
2007,"Ancien élu local","cadsuppub",186,94.8979591836735,15.5913978494624,0,56.494623655914,58,66.6278785611528,66.6666666666667,32.7956989247312,0,100,100,0,0,100,100,63.5878701422923,63.6363636363636,25.8064516129032,0,20.9032258064516,21
2007,"Ancien élu local","collab",87,94.5652173913043,14.9425287356322,0,50.3448275862069,51,84.376096007839,90,91.9540229885057,100,0,0,0,0,100,100,66.9476132791992,70,26.4367816091954,0,21.367816091954,21
2007,"Ancien élu local","employe",8,100,62.5,100,55.5,55.5,64.6506313275763,69.9095022624435,12.5,0,0,0,100,100,100,100,64.6506313275763,69.9095022624435,12.5,0,19.875,21
2007,"Ancien élu local","NA",8,88.8888888888889,62.5,100,53.5,51.5,77.7881944444445,81.9444444444445,25,0,0,0,0,0,100,100,73.9420405982906,81.9444444444445,50,50,21.125,22
2007,"Ancien élu local","ouvrier",5,100,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"Ancien élu local","profinter",78,97.5,33.3333333333333,0,55.6025641025641,57,67.7940510823272,72.5705329153605,10.2564102564103,0,0,0,100,100,100,100,66.4883055458124,72.10433244916,37.1794871794872,0,20.8461538461538,23
2007,"Ancien élu local","proflib",91,96.8085106382979,16.4835164835165,0,57.5384615384615,58,63.8562603762599,66.6666666666667,9.89010989010989,0,100,100,0,0,100,100,62.5175926676423,66.6666666666667,24.1758241758242,0,20.6043956043956,21
2007,"Jamais élu local","agri",1,5.55555555555556,0,0,61,61,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0
2007,"Jamais élu local","cadsupprive",2,2,50,50,42,42,25,25,50,50,100,100,0,0,0,0,13.8888888888889,13.8888888888889,50,50,4.5,4.5
2007,"Jamais élu local","cadsuppub",10,5.10204081632653,40,0,53.8,54,24.5713637558936,22.0035778175313,50,50,100,100,0,0,0,0,15.1932234432235,12.6602564102564,40,0,6.2,5
2007,"Jamais élu local","collab",5,5.43478260869565,40,0,33,31,85.2777777777778,100,100,100,0,0,0,0,0,0,0,0,100,100,5.8,6
2007,"Jamais élu local","NA",1,11.1111111111111,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
2007,"Jamais élu local","profinter",2,2.5,50,50,39,39,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0
2007,"Jamais élu local","proflib",3,3.19148936170213,33.3333333333333,0,45,45,25.4385964912281,26.3157894736842,0,0,100,100,0,0,0,0,25.4385964912281,26.3157894736842,33.3333333333333,0,5,5
2007,"Total","agri",18,100,11.1111111111111,0,54.9444444444444,56.5,61.2502516544671,65.8646616541354,0,0,100,100,0,0,94.4444444444444,100,61.2502516544671,65.8646616541354,44.4444444444444,0,17.9444444444444,19.5
2007,"Total","artisancommercantpdg",37,100,8.10810810810811,0,55.3783783783784,56,64.1765567046204,66.6666666666667,8.10810810810811,0,100,100,0,0,100,100,62.9661154941792,64.2857142857143,27.027027027027,0,19.5405405405405,19
2007,"Total","cadsupprive",100,100,17,0,54.67,55,66.2485881529766,71.7142857142857,15,0,100,100,0,0,98,100,64.5279831423577,67.5438596491228,21,0,19.57,19
2007,"Total","cadsuppub",196,100,16.8367346938776,0,56.3571428571429,57.5,64.4821380098641,65,33.6734693877551,0,100,100,0,0,94.8979591836735,100,61.1187555147887,62.3310810810811,26.530612244898,0,20.1530612244898,20
2007,"Total","collab",92,100,16.304347826087,0,49.4021739130435,50.5,84.4251004518574,90.1612903225806,92.3913043478261,100,0,0,0,0,94.5652173913043,100,63.3091560357645,69.2307692307692,30.4347826086957,0,20.5217391304348,20.5
2007,"Total","employe",8,100,62.5,100,55.5,55.5,64.6506313275763,69.9095022624435,12.5,0,0,0,100,100,100,100,64.6506313275763,69.9095022624435,12.5,0,19.875,21
2007,"Total","NA",9,100,55.5555555555556,100,51.7777777777778,51,69.1450617283951,75,22.2222222222222,0,0,0,0,0,88.8888888888889,100,65.7262583095916,75,55.5555555555556,100,18.7777777777778,20
