"legis.annee","cabcollab","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"Total","Ancien député",404,100,5.69306930693069,0,55.029702970297,54,65.8907967867539,68.1334622823985,23.5148514851485,0,78.960396039604,100,12.6237623762376,0,97.7722772277228,100,63.2305142364553,65.2173913043478,0,0,19.4752475247525,20
1997,"Total","Primo-député",250,100,20,0,48.68,49,51.1043256802226,51.8518518518518,24,0,68.8,100,22.4,0,90.4,100,46.5067295438496,47.4424552429667,100,100,11.916,13
2007,"Ancien collaborateur","Ancien député",141,30.7860262008734,12.0567375886525,0,53.9858156028369,54,81.0056074492548,85.7142857142857,100,100,50.354609929078,100,5.67375886524823,0,97.8723404255319,100,68.6936888382225,70.3703703703704,0,0,23.113475177305,23
2007,"Ancien collaborateur","Primo-député",48,26.5193370165746,25,0,45.75,44.5,68.2719878721727,69.2105263157895,100,100,45.8333333333333,0,2.08333333333333,0,83.3333333333333,100,40.4138149323902,37.5,100,100,12.8333333333333,12
2007,"Jamais collaborateur","Ancien député",317,69.2139737991266,15.4574132492114,0,57.9495268138801,59,67.4346081257206,68.5714285714286,0,0,82.018927444795,100,16.0883280757098,0,98.1072555205047,100,67.4346081257206,68.5714285714286,0,0,22.1198738170347,24
2007,"Jamais collaborateur","Primo-député",133,73.4806629834254,33.8345864661654,0,52.0375939849624,52,53.5534310621135,52.1739130434783,0,0,69.1729323308271,100,24.812030075188,0,94.7368421052632,100,53.5534310621135,52.1739130434783,100,100,14.5864661654135,12
2007,"Total","Ancien député",458,100,14.410480349345,0,56.7292576419214,57.5,71.6125795331842,73.2520325203252,30.7860262008734,0,72.2707423580786,100,12.882096069869,0,98.0349344978166,100,67.8222290437616,68.9903846153846,0,0,22.4257641921397,24
2007,"Total","Primo-député",181,100,31.4917127071823,0,50.3701657458564,51,57.4566947465491,60,26.5193370165746,0,62.9834254143646,100,18.7845303867403,0,91.7127071823204,100,50.068891977988,50,100,100,14.121546961326,12
2012,"Ancien collaborateur","Ancien député",122,33.5164835164835,15.5737704918033,0,54.8196721311475,54,82.7053106968709,87.2983870967742,100,100,52.4590163934426,100,4.0983606557377,0,98.3606557377049,100,69.7598207730277,71.1309523809524,0,0,24.2786885245902,24
2012,"Ancien collaborateur","Primo-député",85,32.8185328185328,22.3529411764706,0,45.3882352941176,45,70.6582644465456,75,100,100,36.4705882352941,0,8.23529411764706,0,89.4117647058823,100,43.3938368417591,42.3076923076923,100,100,13.7058823529412,13
2012,"Jamais collaborateur","Ancien député",242,66.4835164835165,20.2479338842975,0,59.5165289256198,61,69.8805086679919,71.4285714285714,0,0,76.0330578512397,100,21.0743801652893,0,98.7603305785124,100,69.8805086679919,71.4285714285714,0,0,24.0289256198347,23
2012,"Jamais collaborateur","Primo-député",174,67.1814671814672,45.9770114942529,0,51.3793103448276,52,38.8157998151881,40,0,0,67.2413793103448,100,27.5862068965517,0,82.183908045977,100,38.8157998151881,40,100,100,10.6379310344828,11
2012,"Total","Ancien député",364,100,18.6813186813187,0,57.9423076923077,59,74.1789313260228,76.0869565217391,33.5164835164835,0,68.1318681318681,100,15.3846153846154,0,98.6263736263736,100,69.8400583295699,71.4285714285714,0,0,24.1126373626374,23
2012,"Total","Primo-député",259,100,38.2239382239382,0,49.4131274131274,50,49.3065342867594,50,32.8185328185328,0,57.1428571428571,100,21.2355212355212,0,84.5559845559846,100,40.3240678278181,40.3703703703704,100,100,11.6447876447876,11
2017,"Ancien collaborateur","Ancien député",61,37.6543209876543,16.3934426229508,0,53.2786885245902,55,84.472969555924,88.8888888888889,100,100,36.0655737704918,0,3.27868852459016,0,93.4426229508197,100,67.0872598405407,66.6666666666667,0,0,23.4754098360656,22
2017,"Ancien collaborateur","Primo-député",84,19.8581560283688,40.4761904761905,0,43.6904761904762,44.5,60.8313454055452,66.0919540229885,100,100,38.0952380952381,0,3.57142857142857,0,59.5238095238095,100,30.8681184895295,19.5744680851064,100,100,11.4642857142857,9
2017,"Jamais collaborateur","Ancien député",101,62.3456790123457,25.7425742574257,0,58.0792079207921,59,63.4025501088875,64.1025641025641,0,0,83.1683168316832,100,10.8910891089109,0,98.019801980198,100,63.4025501088875,64.1025641025641,0,0,20.8514851485149,22
2017,"Jamais collaborateur","Primo-député",339,80.1418439716312,46.6076696165192,0,47.0619469026549,47,20.8684079368454,10.1724137931035,0,0,77.5811209439528,100,20.353982300885,0,53.9823008849558,100,20.8684079368454,10.1724137931035,100,100,5.3834808259587,2
2017,"Total","Ancien député",162,100,22.2222222222222,0,56.2716049382716,56,71.3364734809198,73.3333333333333,37.6543209876543,0,65.4320987654321,100,8.02469135802469,0,96.2962962962963,100,64.7900025387076,64.7058823529412,0,0,21.8395061728395,22
2017,"Total","Primo-député",423,100,45.3900709219858,0,46.3924349881797,47,28.8609954305853,18.4697855750487,19.8581560283688,0,69.7399527186761,100,17.0212765957447,0,55.0827423167849,100,22.8683500473822,11.7692307692308,100,100,6.59101654846336,3
2022,"Ancien collaborateur","Ancien député",92,31.0810810810811,32.6086956521739,0,50.7826086956522,52,77.0914631385151,86.4367816091954,100,100,31.5217391304348,0,2.17391304347826,0,76.0869565217391,100,57.6714997467123,58.6538461538461,0,0,19.3586956521739,18.5
2022,"Ancien collaborateur","Primo-député",97,32.2259136212625,28.8659793814433,0,40.0103092783505,37,63.0728754227555,69.4444444444444,100,100,39.1752577319588,0,7.21649484536082,0,61.8556701030928,100,30.9068077312168,16.6666666666667,100,100,8.36082474226804,7
2022,"Jamais collaborateur","Ancien député",204,68.9189189189189,38.2352941176471,0,53.5,54,48.2393594398862,45.4545454545455,0,0,82.3529411764706,100,16.1764705882353,0,70.0980392156863,100,48.2393594398862,45.4545454545455,0,0,13.7696078431373,9.5
2022,"Jamais collaborateur","Primo-député",204,67.7740863787375,44.1176470588235,0,47.8333333333333,48,29.6306627335675,21.7171717171717,0,0,60.2941176470588,100,33.8235294117647,0,75,100,29.6306627335675,21.7171717171717,100,100,6.79901960784314,2
2022,"Total","Ancien député",296,100,36.4864864864865,0,52.6554054054054,54,57.2069051840546,55.0509337860781,31.0810810810811,0,66.554054054054,100,11.8243243243243,0,71.9594594594595,100,51.1709706163321,50,0,0,15.5067567567568,13
2022,"Total","Primo-député",301,100,39.202657807309,0,45.312292358804,45,40.5528668778477,36.3636363636364,32.2259136212625,0,53.4883720930233,100,25.2491694352159,0,70.7641196013289,100,30.0474508304429,20.9302325581395,100,100,7.30232558139535,6
2024,"Ancien collaborateur","Ancien député",140,32.0366132723112,30.7142857142857,0,46.3571428571429,46,74.6826486652848,82.9787234042553,100,100,37.1428571428571,0,3.57142857142857,0,70.7142857142857,100,53.694656361817,55.5555555555556,0,0,15.5285714285714,12
2024,"Ancien collaborateur","Primo-député",52,37.1428571428571,28.8461538461538,0,41.3269230769231,39,61.074073350066,68.3766233766234,100,100,38.4615384615385,0,5.76923076923077,0,55.7692307692308,100,32.9550360605704,29.3643263757115,100,100,9.40384615384615,8.5
2024,"Jamais collaborateur","Ancien député",297,67.9633867276888,40.7407407407407,0,52.6868686868687,53,43.337560021064,40,0,0,70.7070707070707,100,25.5892255892256,0,73.0639730639731,100,43.337560021064,40,0,0,11.959595959596,10
2024,"Jamais collaborateur","Primo-député",88,62.8571428571429,29.5454545454545,0,49.4431818181818,51.5,30.0175891515745,20,0,0,70.4545454545455,100,22.7272727272727,0,65.9090909090909,100,30.0175891515745,20,100,100,7.52272727272727,4
2024,"Total","Ancien député",437,100,37.5286041189931,0,50.6590389016018,52,53.3535768522058,51.4285714285714,32.0366132723112,0,59.954233409611,100,18.5354691075515,0,72.3112128146453,100,46.6470689667299,43.4782608695652,0,0,13.1029748283753,10
2024,"Total","Primo-député",140,100,29.2857142857143,0,46.4285714285714,46,41.4354142245493,40.5128205128205,37.1428571428571,0,58.5714285714286,100,16.4285714285714,0,62.1428571428571,100,31.0975328681171,23.5384615384616,100,100,8.22142857142857,5
