"legis.annee","primodep","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2017,"Primo-député","Jamais collaborateur",339,77.0454545454545,46.6076696165192,0,47.0619469026549,47,20.8684079368454,10.1724137931035,0,0,77.5811209439528,100,20.353982300885,0,53.9823008849558,100,20.8684079368454,10.1724137931035,100,100,5.3834808259587,2
2017,"Total","Ancien collaborateur",145,100,30.3448275862069,0,47.7241379310345,48,70.7771321170838,80,100,100,37.2413793103448,0,3.44827586206897,0,73.7931034482759,100,46.1051365751273,50,57.9310344827586,100,16.5172413793103,16
2017,"Total","Jamais collaborateur",440,100,41.8181818181818,0,49.5909090909091,50,30.6989533816423,21.4285714285714,0,0,78.8636363636364,100,18.1818181818182,0,64.0909090909091,100,30.6989533816423,21.4285714285714,77.0454545454545,100,8.93409090909091,3.5
2022,"Ancien député","Ancien collaborateur",92,48.6772486772487,32.6086956521739,0,50.7826086956522,52,77.0914631385151,86.4367816091954,100,100,31.5217391304348,0,2.17391304347826,0,76.0869565217391,100,57.6714997467123,58.6538461538461,0,0,19.3586956521739,18.5
2022,"Ancien député","Jamais collaborateur",204,50,38.2352941176471,0,53.5,54,48.2393594398862,45.4545454545455,0,0,82.3529411764706,100,16.1764705882353,0,70.0980392156863,100,48.2393594398862,45.4545454545455,0,0,13.7696078431373,9.5
2022,"Primo-député","Ancien collaborateur",97,51.3227513227513,28.8659793814433,0,40.0103092783505,37,63.0728754227555,69.4444444444444,100,100,39.1752577319588,0,7.21649484536082,0,61.8556701030928,100,30.9068077312168,16.6666666666667,100,100,8.36082474226804,7
2022,"Primo-député","Jamais collaborateur",204,50,44.1176470588235,0,47.8333333333333,48,29.6306627335675,21.7171717171717,0,0,60.2941176470588,100,33.8235294117647,0,75,100,29.6306627335675,21.7171717171717,100,100,6.79901960784314,2
2022,"Total","Ancien collaborateur",189,100,30.6878306878307,0,45.2539682539683,45,69.896738226194,79.1666666666667,100,100,35.4497354497354,0,4.76190476190476,0,68.7830687830688,100,43.9351234212993,47.0588235294118,51.3227513227513,100,13.7142857142857,10
2022,"Total","Jamais collaborateur",408,100,41.1764705882353,0,50.6666666666667,51,39.0271333476492,35.4497354497355,0,0,71.3235294117647,100,25,0,72.5490196078431,100,39.0271333476492,35.4497354497355,50,50,10.2843137254902,8
2024,"Ancien député","Ancien collaborateur",140,72.9166666666667,30.7142857142857,0,46.3571428571429,46,74.6826486652848,82.9787234042553,100,100,37.1428571428571,0,3.57142857142857,0,70.7142857142857,100,53.694656361817,55.5555555555556,0,0,15.5285714285714,12
2024,"Ancien député","Jamais collaborateur",297,77.1428571428571,40.7407407407407,0,52.6868686868687,53,43.337560021064,40,0,0,70.7070707070707,100,25.5892255892256,0,73.0639730639731,100,43.337560021064,40,0,0,11.959595959596,10
2024,"Primo-député","Ancien collaborateur",52,27.0833333333333,28.8461538461538,0,41.3269230769231,39,61.074073350066,68.3766233766234,100,100,38.4615384615385,0,5.76923076923077,0,55.7692307692308,100,32.9550360605704,29.3643263757115,100,100,9.40384615384615,8.5
2024,"Primo-député","Jamais collaborateur",88,22.8571428571429,29.5454545454545,0,49.4431818181818,51.5,30.0175891515745,20,0,0,70.4545454545455,100,22.7272727272727,0,65.9090909090909,100,30.0175891515745,20,100,100,7.52272727272727,4
2024,"Total","Ancien collaborateur",192,100,30.2083333333333,0,44.9947916666667,44,71.0824964654914,77.7777777777778,100,100,37.5,0,4.16666666666667,0,66.6666666666667,100,48.2079843244502,50,27.0833333333333,0,13.8697916666667,11
2024,"Total","Jamais collaborateur",385,100,38.1818181818182,0,51.9454545454545,53,40.3388231237444,38.6752136752137,0,0,70.6493506493507,100,24.9350649350649,0,71.4285714285714,100,40.3388231237444,38.6752136752137,22.8571428571429,0,10.9454545454545,9
