"legis.annee","elu.local","elu.local.1","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"Total","Total",623,100,26.8057784911718,0,54.3964686998395,55,63.8620849656852,68,33.2263242375602,0,63.5634028892456,100,17.8170144462279,0,92.776886035313,100,57.5970912082645,60.7142857142857,41.5730337078652,0,18.9293739967897,19
2017,"Ancien élu local","Ancien élu local",389,Inf,31.3624678663239,0,52.4678663239075,53,56.7473813298257,58.3333333333333,27.5064267352185,0,63.4961439588689,100,15.1670951156812,0,100,100,51.5525933944866,51.6129032258065,59.8971722365039,100,15.6298200514139,16
2017,"Jamais élu local","Jamais élu local",196,Inf,54.0816326530612,100,42.5,41,8.80456518006308,0,19.3877551020408,0,78.5714285714286,100,13.265306122449,0,0,0,0.768378397460591,0,96.9387755102041,100,1.25510204081633,0
2017,"Total","Total",585,100,38.974358974359,0,49.1282051282051,50,40.6840666404722,36.0555555555556,24.7863247863248,0,68.5470085470085,100,14.5299145299145,0,66.4957264957265,100,34.5372636274418,27.2727272727273,72.3076923076923,100,10.8136752136752,7
2022,"Ancien élu local","Ancien élu local",426,Inf,34.5070422535211,0,51.0539906103286,52,56.1517821280966,53.8461538461538,30.5164319248826,0,58.6854460093897,100,18.075117370892,0,100,100,50.5585057830789,50,50,50,14.1291079812207,12
2022,"Jamais élu local","Jamais élu local",171,Inf,46.1988304093567,0,43.719298245614,42,30.434154718809,18.8746438746439,34.5029239766082,0,63.1578947368421,100,19.8830409356725,0,0,0,15.3769954837339,8.13748531139835,51.4619883040936,100,4.49707602339181,5
2022,"Total","Total",597,100,37.85594639866,0,48.9530988274707,50,48.8658438401365,47.0588235294118,31.6582914572864,0,59.9664991624791,100,18.5929648241206,0,71.356783919598,100,40.5913999984416,36.8421052631579,50.4187604690117,100,11.3701842546064,8
2024,"Ancien élu local","Ancien élu local",403,Inf,33.4987593052109,0,52.0248138957816,53,58.8667263914528,56.4102564102564,31.7617866004963,0,59.3052109181141,100,17.12158808933,0,100,100,53.3090480769957,52.6315789473684,21.5880893300248,0,15.0992555831266,13
2024,"Jamais élu local","Jamais élu local",174,Inf,40.2298850574713,0,44.0919540229885,43,30.4805448184094,21.7171717171717,36.7816091954023,0,60.3448275862069,100,20.1149425287356,0,0,0,18.0785303307273,14.2857142857143,30.4597701149425,0,4.55172413793103,2
2024,"Total","Total",577,100,35.528596187175,0,49.632582322357,51,50.514925158053,50,33.2755632582322,0,59.6187175043328,100,18.0242634315425,0,69.844020797227,100,42.9435016998099,40.7407407407407,24.263431542461,0,11.9185441941075,10
