"legis.annee","tendance.pol","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Total","Ancien collaborateur",76,100,0,0,49.3026315789474,50.5,56.1330916348444,60.3030303030303,100,100,82.8947368421053,100,6.57894736842105,0,78.9473684210526,100,42.389120485587,45.4545454545455,35.5263157894737,0,13.6710526315789,12.5
1978,"Total","Jamais collaborateur",460,100,4.56521739130435,0,51.5195652173913,53,44.3234682997386,42.1052631578947,0,0,71.304347826087,100,27.3913043478261,0,80.4347826086957,100,44.3234682997386,42.1052631578947,39.5652173913044,0,11.8086956521739,10.5
1997,"Centre","Ancien collaborateur",38,24.5161290322581,7.89473684210526,0,49.8157894736842,47,67.010050667134,72.5705329153605,100,100,76.3157894736842,100,5.26315789473684,0,89.4736842105263,100,57.2832065002695,63.5278514588859,21.0526315789474,0,16.2894736842105,16
1997,"Centre","Jamais collaborateur",85,17.0340681362725,5.88235294117647,0,55.3764705882353,54,62.7557892362,66.6666666666667,0,0,95.2941176470588,100,4.70588235294118,0,97.6470588235294,100,62.7557892362,66.6666666666667,14.1176470588235,0,19.2,20
1997,"COM/LFI","Jamais collaborateur",41,8.21643286573146,9.75609756097561,0,54.5609756097561,54,60.2629020046489,63.6363636363636,0,0,34.1463414634146,0,60.9756097560976,100,95.1219512195122,100,60.2629020046489,63.6363636363636,48.780487804878,0,18.0487804878049,20
1997,"Droite","Ancien collaborateur",44,28.3870967741935,4.54545454545455,0,53.1590909090909,52,66.4360083618325,69.0909090909091,100,100,65.9090909090909,100,4.54545454545455,0,97.7272727272727,100,54.8661991193853,61.4583333333333,11.3636363636364,0,18.5227272727273,17
1997,"Droite","Jamais collaborateur",113,22.6452905811623,6.19469026548673,0,54.3008849557522,54,57.8655735143238,56,0,0,90.2654867256637,100,8.84955752212389,0,97.3451327433628,100,57.8655735143238,56,21.2389380530973,0,16.6814159292035,15
1997,"ECO/SOC/RAD","Ancien collaborateur",72,46.4516129032258,18.0555555555556,0,45.6944444444444,46,69.0859797758911,75.5,100,100,59.7222222222222,100,2.77777777777778,0,87.5,100,50.4375947532859,51.6666666666667,63.8888888888889,100,14.0277777777778,14
1997,"ECO/SOC/RAD","Jamais collaborateur",256,51.3026052104208,15.234375,0,52.8203125,53,55.9595325601228,59.041394335512,0,0,73.828125,100,23.828125,0,95.3125,100,55.9595325601228,59.041394335512,51.5625,100,15.859375,16
1997,"Non-inscrits","Ancien collaborateur",1,0.645161290322581,0,0,61,61,38.8888888888889,38.8888888888889,100,100,0,0,100,100,100,100,36.1111111111111,36.1111111111111,100,100,14,14
1997,"Non-inscrits","Jamais collaborateur",4,0.801603206412826,0,0,54.25,54,60.9615965254552,60.0241545893719,0,0,100,100,0,0,100,100,60.9615965254552,60.0241545893719,50,50,18,17.5
1997,"Total","Ancien collaborateur",155,100,11.6129032258065,0,48.9225806451613,48,67.6299724259663,72.4137931034483,100,100,65.1612903225806,100,4.51612903225806,0,90.9677419354839,100,53.2805970426509,56.25,38.7096774193548,0,15.858064516129,15
1997,"Total","Jamais collaborateur",499,100,11.0220440881764,0,53.7454909819639,53,57.9425202322234,58.8235294117647,0,0,78.1563126252505,100,20.0400801603206,0,96.1923847695391,100,57.9425202322234,58.8235294117647,38.0761523046092,0,16.811623246493,16
2007,"Centre","Ancien collaborateur",7,3.7037037037037,0,0,48.5714285714286,48,84.1496598639456,100,100,100,42.8571428571429,0,0,0,85.7142857142857,100,72.9318249038746,78.2608695652174,14.2857142857143,0,18,18
2007,"Centre","Jamais collaborateur",19,4.22222222222222,5.26315789473684,0,56.0526315789474,54,68.0533155077047,64.8648648648649,0,0,89.4736842105263,100,5.26315789473684,0,100,100,68.0533155077047,64.8648648648649,21.0526315789474,0,20.6315789473684,18
2007,"COM/LFI","Ancien collaborateur",2,1.05820105820106,50,50,44.5,44.5,60,60,100,100,0,0,50,50,100,100,43.3333333333333,43.3333333333333,50,50,7.5,7.5
2007,"COM/LFI","Jamais collaborateur",24,5.33333333333333,20.8333333333333,0,59.9583333333333,59.5,74.6946898857774,79.0625,0,0,29.1666666666667,0,66.6666666666667,100,100,100,74.6946898857774,79.0625,25,0,26.0416666666667,24.5
2007,"Droite","Ancien collaborateur",104,55.026455026455,12.5,0,52.7019230769231,52.5,76.107855340899,80.7692307692308,100,100,48.0769230769231,0,4.80769230769231,0,95.1923076923077,100,62.0367371806279,61.6366366366367,22.1153846153846,0,20.7980769230769,20
2007,"Droite","Jamais collaborateur",265,58.8888888888889,16.9811320754717,0,55.5320754716981,56,61.8313867359804,65,0,0,86.0377358490566,100,10.5660377358491,0,96.6037735849057,100,61.8313867359804,65,24.5283018867925,0,19.0641509433962,19
2007,"ECO/SOC/RAD","Ancien collaborateur",72,38.0952380952381,19.4444444444444,0,51.4583333333333,53,79.7366280899005,84.9624060150376,100,100,51.3888888888889,100,4.16666666666667,0,93.0555555555556,100,59.5145467435508,63.6111111111111,30.5555555555556,0,20.7361111111111,22
2007,"ECO/SOC/RAD","Jamais collaborateur",138,30.6666666666667,31.1594202898551,0,56.9565217391304,58,63.0327026019098,67.6190476190476,0,0,71.0144927536232,100,26.8115942028986,0,97.1014492753623,100,63.0327026019098,67.6190476190476,40.5797101449275,0,20.268115942029,21
2007,"Non-inscrits","Ancien collaborateur",4,2.11640211640212,25,0,48.25,46.5,83.3860678088182,86.0703812316715,100,100,75,100,0,0,100,100,72.903942407338,69.8680351906158,25,0,19.5,18
2007,"Non-inscrits","Jamais collaborateur",4,0.888888888888889,0,0,52.75,54.5,82.4652777777778,96.875,0,0,50,50,50,50,100,100,82.4652777777778,96.875,50,50,21.5,21.5
2007,"Total","Ancien collaborateur",189,100,15.3439153439153,0,51.8941798941799,52,77.7716723185673,83.3333333333333,100,100,49.2063492063492,0,4.76190476190476,0,94.1798941798942,100,61.5114986399159,63.3333333333333,25.3968253968254,0,20.5026455026455,20
2007,"Total","Jamais collaborateur",450,100,20.8888888888889,0,56.2022222222222,57,63.3319491269211,66.6666666666667,0,0,78.2222222222222,100,18.6666666666667,0,97.1111111111111,100,63.3319491269211,66.6666666666667,29.5555555555556,0,19.8933333333333,19.5
2012,"Centre","Ancien collaborateur",12,5.79710144927536,0,0,51.9166666666667,51.5,90.7566145771791,94.2307692307693,100,100,33.3333333333333,0,0,0,100,100,77.9393032047602,83.6640211640211,0,0,24.8333333333333,26.5
2012,"Centre","Jamais collaborateur",20,4.80769230769231,10,0,54.8,54,61.2630991079376,72.5087108013938,0,0,70,100,25,0,85,100,61.2630991079376,72.5087108013938,40,0,18.65,22
2012,"COM/LFI","Ancien collaborateur",2,0.966183574879227,0,0,45.5,45.5,73.5645933014354,73.5645933014354,100,100,0,0,0,0,100,100,53.9473684210526,53.9473684210526,100,100,15,15
2012,"COM/LFI","Jamais collaborateur",13,3.125,23.0769230769231,0,63.2307692307692,63,71.2779776543027,82.8571428571429,0,0,53.8461538461538,100,38.4615384615385,0,100,100,71.2779776543027,82.8571428571429,23.0769230769231,0,27.9230769230769,30
2012,"Droite","Ancien collaborateur",64,30.9178743961353,12.5,0,52.875,53,80.2748589063296,85.7142857142857,100,100,54.6875,100,3.125,0,96.875,100,65.9495266934853,68.0959302325581,21.875,0,21.953125,22.5
2012,"Droite","Jamais collaborateur",138,33.1730769230769,13.768115942029,0,56.4275362318841,58,65.2136423801437,65.7518796992481,0,0,86.231884057971,100,9.42028985507246,0,96.3768115942029,100,65.2136423801437,65.7518796992481,17.3913043478261,0,20.7463768115942,23
2012,"ECO/SOC/RAD","Ancien collaborateur",126,60.8695652173913,23.015873015873,0,50.0873015873016,50,75.0261158335734,80.952380952381,100,100,42.8571428571429,0,7.93650793650794,0,92.8571428571429,100,53.4975150803598,52.3809523809524,53.968253968254,100,18.5714285714286,17
2012,"ECO/SOC/RAD","Jamais collaborateur",239,57.4519230769231,43.0962343096234,0,55.7907949790795,57,51.2085528851176,54.8387096774194,0,0,66.1087866108787,100,31.7991631799163,0,90.3765690376569,100,51.2085528851176,54.8387096774194,56.9037656903766,100,16.6903765690377,17
2012,"Non-inscrits","Ancien collaborateur",3,1.44927536231884,33.3333333333333,0,45.6666666666667,49,89.6367521367521,95.8333333333333,100,100,66.6666666666667,100,0,0,100,100,64.8504273504273,65.3846153846154,33.3333333333333,0,18,19
2012,"Non-inscrits","Jamais collaborateur",6,1.44230769230769,33.3333333333333,0,50.6666666666667,54,47.2027972027972,59.0909090909091,0,0,50,50,0,0,50,50,47.2027972027972,59.0909090909091,50,50,13,10
2012,"Total","Ancien collaborateur",207,100,18.3574879227053,0,50.9468599033816,51,77.7584559563991,83.3333333333333,100,100,45.8937198067633,0,5.79710144927536,0,94.6859903381642,100,58.9332090138111,59.0909090909091,41.0628019323672,0,19.9371980676328,19
2012,"Total","Jamais collaborateur",416,100,31.0096153846154,0,56.1129807692308,57,56.9306420859797,62.1621621621622,0,0,72.3557692307692,100,23.7980769230769,0,91.8269230769231,100,56.9306420859797,62.1621621621622,41.8269230769231,0,18.4278846153846,18
2017,"Centre","Ancien collaborateur",67,46.2068965517241,43.2835820895522,0,43.7164179104478,44,56.5806093442105,60,100,100,44.7761194029851,0,4.47761194029851,0,50.7462686567164,100,26.629177351476,10.7142857142857,80.5970149253731,100,10.8358208955224,9
