"legis.annee","groupe.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"Communiste",26,4.06885758998435,23.0769230769231,0,58.7692307692308,59,73.564329125333,79.0625,7.69230769230769,0,26.9230769230769,0,65.3846153846154,100,100,100,72.2822778432817,77.5240384615385,26.9230769230769,0,24.6153846153846,24
2007,"Non-inscrits",8,1.25195618153365,12.5,0,50.5,49.5,82.925672793298,92.0362903225806,50,50,62.5,100,25,0,100,100,77.6846100925579,87.1975806451613,37.5,0,20.5,18
2007,"RPR/UMP/LR",369,57.7464788732394,15.7181571815718,0,54.7344173441734,56,65.8551068847921,68.4210526315789,28.1842818428184,0,75.3387533875339,100,8.94308943089431,0,96.2059620596206,100,61.8892632840654,64.2857142857143,23.8482384823848,0,19.5528455284553,19
2007,"Socialiste",210,32.8638497652582,27.1428571428571,0,55.0714285714286,56,68.7597627692209,72.10433244916,34.2857142857143,0,64.2857142857143,100,19.047619047619,0,95.7142857142857,100,61.8264777361867,66.6666666666667,37.1428571428571,0,20.4285714285714,21
2007,"Total",639,100,19.2488262910798,0,54.9280125195618,56,67.6028531695207,70.3703703703704,29.5774647887324,0,69.6400625978091,100,14.5539906103286,0,96.2441314553991,100,62.7935060251309,66.6666666666667,28.3255086071987,0,20.0735524256651,20
2007,"UDF/MODEM/UDI/NC/Dém",26,4.06885758998435,3.84615384615385,0,54.0384615384615,53.5,72.3869466805388,70,26.9230769230769,0,76.9230769230769,100,3.84615384615385,0,96.1538461538462,100,69.366760345135,70,19.2307692307692,0,19.9230769230769,18
2012,"Communiste",15,2.40770465489567,20,0,60.8666666666667,62,71.582859740587,81.0810810810811,13.3333333333333,0,46.6666666666667,0,33.3333333333333,0,100,100,68.967229756536,81.0810810810811,33.3333333333333,0,26.2,29
2012,"Écologiste",18,2.8892455858748,50,50,49.4444444444444,50,44.0420050606446,45.2558139534883,22.2222222222222,0,61.1111111111111,100,16.6666666666667,0,66.6666666666667,100,34.8232064300812,40.958605664488,88.8888888888889,100,9.88888888888889,11
2012,"Non-inscrits",9,1.4446227929374,33.3333333333333,0,49,51,63.1155303030303,75,33.3333333333333,0,55.5555555555556,100,0,0,66.6666666666667,100,53.8206585081585,62.2377622377623,44.4444444444444,0,14.6666666666667,19
2012,"Radical",20,3.21027287319422,25,0,53.85,53.5,62.8090489653415,73.6231884057971,20,0,55,100,30,0,95,100,55.5264402696893,59.0415019762846,60,100,18.35,17
2012,"RPR/UMP/LR",202,32.4237560192616,13.3663366336634,0,55.3019801980198,56,69.9855129626976,71.4285714285714,31.6831683168317,0,76.2376237623762,100,7.42574257425743,0,96.5346534653465,100,65.4467938457568,66.260162601626,18.8118811881188,0,21.1287128712871,23
2012,"Socialiste",327,52.4879614767255,36.085626911315,0,54.0611620795107,55,60.0709408690364,64.4444444444444,36.085626911315,0,58.1039755351682,100,23.5474006116208,0,92.3547400611621,100,52.7283930230373,54.8387096774194,53.822629969419,100,17.6880733944954,17
2012,"Total",623,100,26.8057784911718,0,54.3964686998395,55,63.8620849656852,68,33.2263242375602,0,63.5634028892456,100,17.8170144462279,0,92.776886035313,100,57.5970912082645,60.7142857142857,41.5730337078652,0,18.9293739967897,19
2012,"UDF/MODEM/UDI/NC/Dém",32,5.13643659711075,6.25,0,53.71875,52.5,72.3231674089031,80.2801724137931,37.5,0,56.25,100,15.625,0,90.625,100,67.516675644246,77.2077922077922,25,0,20.96875,23
2017,"Communiste",16,2.73504273504274,18.75,0,55.4375,57,65.1761307501891,75.3703703703704,50,50,37.5,0,25,0,93.75,100,52.9660454095091,52.1296296296296,56.25,100,20.125,20.5
2017,"LC/HOR",35,5.98290598290598,22.8571428571429,0,51.4857142857143,52,71.7127435660002,82.3529411764706,37.1428571428571,0,60,100,8.57142857142857,0,94.2857142857143,100,64.7575180740439,64.7058823529412,34.2857142857143,0,19.5142857142857,21
2017,"LFI",17,2.90598290598291,41.1764705882353,0,43.7647058823529,42,16.3210485200127,0,11.7647058823529,0,47.0588235294118,0,41.1764705882353,0,35.2941176470588,0,15.2940908820152,0,100,100,4.76470588235294,0
2017,"LREM/RE",321,54.8717948717949,47.6635514018692,0,46.1588785046729,46,24.3498278165562,12.5,18.0685358255452,0,76.3239875389408,100,14.3302180685358,0,47.3520249221184,0,18.8297670838927,0,89.0965732087227,100,5.70716510903427,3
2017,"Non-inscrits",17,2.90598290598291,23.5294117647059,0,52.8235294117647,49,59.9178574110595,70.3423304805793,41.1764705882353,0,52.9411764705882,100,5.88235294117647,0,94.1176470588235,100,54.2059809887064,64.9659863945579,58.8235294117647,100,15.4117647058824,16
2017,"RPR/UMP/LR",100,17.0940170940171,23,0,53.38,55,70.1668589426031,70.7180500658762,32,0,65,100,12,0,98,100,63.023664032992,64.7058823529412,38,0,19.34,19.5
2017,"Socialiste",31,5.2991452991453,38.7096774193548,0,55.3548387096774,56,70.8310892029935,76.1904761904762,51.6129032258064,100,51.6129032258064,100,9.67741935483871,0,90.3225806451613,100,60.8720131114964,64.1025641025641,16.1290322580645,0,21.0967741935484,22
2017,"Total",585,100,38.974358974359,0,49.1282051282051,50,40.6840666404722,36.0555555555556,24.7863247863248,0,68.5470085470085,100,14.5299145299145,0,66.4957264957265,100,34.5372636274418,27.2727272727273,72.3076923076923,100,10.8136752136752,7
2017,"UDF/MODEM/UDI/NC/Dém",48,8.2051282051282,37.5,0,52.875,54,39.7744664893772,36,18.75,0,64.5833333333333,100,18.75,0,85.4166666666667,100,34.6526629520116,30.9316770186336,95.8333333333333,100,11.625,9
2022,"Communiste",22,3.68509212730318,18.1818181818182,0,49.3636363636364,52,55.7363770707913,51.4285714285714,40.9090909090909,0,27.2727272727273,0,36.3636363636364,0,95.4545454545455,100,47.2981583349035,50,50,50,15.3636363636364,14
2022,"Écologiste",23,3.85259631490787,56.5217391304348,100,43.6521739130435,42,56.5313878098867,60.8695652173913,47.8260869565217,0,47.8260869565217,0,8.69565217391304,0,65.2173913043478,100,31.1242606121416,31.8181818181818,82.6086956521739,100,9.8695652173913,9
2022,"LC/HOR",31,5.19262981574539,35.4838709677419,0,49.741935483871,52,56.962011981605,48.2758620689655,22.5806451612903,0,70.9677419354839,100,16.1290322580645,0,83.8709677419355,100,52.1473213103847,48.2758620689655,48.3870967741936,0,14.8387096774194,14
