"legis.annee","ProfSigni","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"proflib","Ancien député",74,22.6299694189602,0,0,56.8513513513514,58,57.4749758530992,57.9545454545455,1.35135135135135,0,100,100,0,0,83.7837837837838,100,57.3521257302491,57.9545454545455,0,0,17.1216216216216,17
1978,"proflib","Primo-député",29,13.8755980861244,6.89655172413793,0,46.2758620689655,48,32.1047749803426,21.7391304347826,3.44827586206897,0,100,100,0,0,72.4137931034483,100,31.6121641429042,21.7391304347826,100,100,6.86206896551724,5
1978,"Total","Ancien député",327,100,2.14067278287462,0,55.177370030581,56,56.7797708459846,57.5757575757576,14.9847094801223,0,72.782874617737,100,25.0764525993884,0,86.2385321100917,100,55.1003888841387,55.1724137931034,0,0,16.1345565749235,16
1978,"Total","Primo-député",209,100,6.69856459330144,0,44.9904306220096,44,29.1288292607222,22.7272727272727,12.9186602870813,0,73.2057416267943,100,23.444976076555,0,70.8133971291866,100,26.7585713381388,18.5185185185185,100,100,5.7177033492823,5
1997,"agri","Ancien député",13,3.21782178217822,0,0,57.1538461538462,60,63.4601495572173,67.4418604651163,0,0,100,100,0,0,92.3076923076923,100,63.4601495572173,67.4418604651163,0,0,20.4615384615385,20
1997,"agri","Primo-député",5,2,0,0,51.6,50,84.4102564102564,100,0,0,100,100,0,0,100,100,84.4102564102564,100,100,100,22.8,25
1997,"artisancommercantpdg","Ancien député",24,5.94059405940594,0,0,53.1666666666667,53,61.3825882902769,52.7777777777778,4.16666666666667,0,100,100,0,0,100,100,60.6250125327012,52.7777777777778,0,0,17,15
1997,"artisancommercantpdg","Primo-député",14,5.6,14.2857142857143,0,53,56,49.262227302019,54.1666666666667,7.14285714285714,0,100,100,0,0,85.7142857142857,100,49.262227302019,54.1666666666667,100,100,14.5,14
1997,"cadsupprive","Ancien député",68,16.8316831683168,5.88235294117647,0,54.8970588235294,54,64.1801608262112,63.9583333333333,20.5882352941176,0,100,100,0,0,97.0588235294118,100,62.6325678624431,61.8347338935574,0,0,18.7205882352941,19
1997,"cadsupprive","Primo-député",30,12,10,0,46.4333333333333,47.5,49.5834324823278,44.2890442890443,26.6666666666667,0,100,100,0,0,93.3333333333333,100,47.8675240180323,40.5982905982906,100,100,9.73333333333333,8
1997,"cadsuppub","Ancien député",144,35.6435643564356,4.16666666666667,0,56.4236111111111,55.5,63.8353137603931,66.6666666666667,26.3888888888889,0,100,100,0,0,97.9166666666667,100,61.1327747641848,64.0762463343109,0,0,19.9166666666667,20
1997,"cadsuppub","Primo-député",90,36,25.5555555555556,0,49.4111111111111,50,48.6397175784349,51.8518518518518,34.4444444444444,0,100,100,0,0,88.8888888888889,100,43.7178146579301,44.5,100,100,12,12.5
1997,"collab","Ancien député",31,7.67326732673267,9.67741935483871,0,47.9032258064516,48,83.0518786918804,86.9565217391304,96.7741935483871,100,0,0,0,0,96.7741935483871,100,66.6021557412993,68.1818181818182,0,0,19,19
1997,"collab","Primo-député",21,8.4,28.5714285714286,0,42.3333333333333,41,71.9823373295913,81.25,80.9523809523809,100,0,0,0,0,80.9523809523809,100,41.6407783038218,45.4545454545455,100,100,12.5238095238095,13
1997,"employe","Ancien député",4,0.99009900990099,75,100,54,55.5,55.2304147465438,54.0322580645161,0,0,0,0,100,100,100,100,55.2304147465438,54.0322580645161,0,0,15.5,15
1997,"employe","Primo-député",2,0.8,50,50,51,51,65.3846153846154,65.3846153846154,0,0,0,0,100,100,100,100,65.3846153846154,65.3846153846154,100,100,17,17
1997,"NA","Ancien député",3,0.742574257425743,33.3333333333333,0,44.3333333333333,45,73.0065359477124,70,0,0,0,0,0,0,100,100,73.0065359477124,70,0,0,14,14
1997,"NA","Primo-député",1,0.4,0,0,36,36,18.1818181818182,18.1818181818182,0,0,0,0,0,0,100,100,18.1818181818182,18.1818181818182,100,100,2,2
1997,"ouvrier","Ancien député",5,1.23762376237624,20,0,58.4,57,76.0912698412698,71.4285714285714,0,0,0,0,100,100,100,100,76.0912698412698,71.4285714285714,0,0,25.4,26
1997,"ouvrier","Primo-député",5,2,0,0,51.4,53,33.5125448028674,40,0,0,0,0,100,100,80,100,33.5125448028674,40,100,100,9.4,8
1997,"profinter","Ancien député",42,10.3960396039604,2.38095238095238,0,54.7380952380952,53,70.3274245173138,70.8494208494209,11.9047619047619,0,0,0,100,100,97.6190476190476,100,70.1290118189011,70.8494208494209,0,0,20.8809523809524,20
1997,"profinter","Primo-député",49,19.6,20.4081632653061,0,50.0612244897959,49,51.0956273358021,51.8518518518518,4.08163265306122,0,0,0,100,100,95.9183673469388,100,51.0389379933985,51.8518518518518,100,100,11.9591836734694,11
