"legis.annee","tendance.pol","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"ECO/SOC/RAD","Primo-député",78,43.0939226519337,42.3076923076923,0,51.5,53,58.190988821702,62.5776397515528,28.2051282051282,0,61.5384615384615,100,24.3589743589744,0,91.025641025641,100,48.1899099824291,45.2991452991453,100,100,14.5641025641026,12
2007,"Non-inscrits","Ancien député",5,1.09170305676856,20,0,51,52,89.0952178834182,93.75,60,100,60,100,20,0,100,100,85.2549721076886,93.75,0,0,23.4,27
2007,"Non-inscrits","Primo-député",3,1.65745856353591,0,0,49.6666666666667,47,72.6430976430976,81.8181818181818,33.3333333333333,0,66.6666666666667,100,33.3333333333333,0,100,100,65.0673400673401,59.0909090909091,100,100,15.6666666666667,16
2007,"Total","Ancien député",458,100,14.410480349345,0,56.7292576419214,57.5,71.6125795331842,73.2520325203252,30.7860262008734,0,72.2707423580786,100,12.882096069869,0,98.0349344978166,100,67.8222290437616,68.9903846153846,0,0,22.4257641921397,24
2007,"Total","Primo-député",181,100,31.4917127071823,0,50.3701657458564,51,57.4566947465491,60,26.5193370165746,0,62.9834254143646,100,18.7845303867403,0,91.7127071823204,100,50.068891977988,50,100,100,14.121546961326,12
2012,"Centre","Ancien député",24,6.59340659340659,0,0,54.5,53.5,85.8911221749767,88.4615384615385,50,50,58.3333333333333,100,8.33333333333333,0,100,100,79.4824664887673,80.7266009852216,0,0,25.2083333333333,25
2012,"Centre","Primo-député",8,3.08880308880309,25,0,51.375,50.5,31.6193031106824,24.6666666666667,0,0,50,50,37.5,0,62.5,100,31.6193031106824,24.6666666666667,100,100,8.25,4
2012,"COM/LFI","Ancien député",10,2.74725274725275,30,0,64.8,64,83.0447653339879,84.349593495935,0,0,50,50,40,0,100,100,83.0447653339879,84.349593495935,0,0,32.8,35
2012,"COM/LFI","Primo-député",5,1.93050193050193,0,0,53,51,48.6590485537854,51.1111111111111,40,0,40,0,20,0,100,100,40.8121586016323,50,100,100,13,15
2012,"Droite","Ancien député",164,45.0549450549451,10.3658536585366,0,57.3475609756098,58.5,72.5404121509833,72.7272727272727,30.4878048780488,0,76.219512195122,100,8.53658536585366,0,98.1707317073171,100,69.0378886496746,70.5510388437218,0,0,23.2134146341463,23
2012,"Droite","Primo-député",38,14.6718146718147,26.3157894736842,0,46.4736842105263,47.5,58.9591059395697,63.8344226579521,36.8421052631579,0,76.3157894736842,100,2.63157894736842,0,89.4736842105263,100,49.9483846920063,55.9907834101382,100,100,12.1315789473684,11.5
2012,"ECO/SOC/RAD","Ancien député",161,44.2307692307692,28.5714285714286,0,58.7142857142857,61,73.340028459301,76.0869565217391,36.0248447204969,0,62.111801242236,100,22.360248447205,0,98.7577639751553,100,68.1012963330097,70.7317073170732,0,0,24.3291925465839,23
2012,"ECO/SOC/RAD","Primo-député",204,78.7644787644788,42.156862745098,0,49.9607843137255,50,48.4528929050289,48.0509745127436,33.3333333333333,0,54.9019607843137,100,24.5098039215686,0,85.2941176470588,100,39.2903055394798,39.6428571428572,100,100,11.8235294117647,11
2012,"Non-inscrits","Ancien député",5,1.37362637362637,40,0,55.4,51,80.9848484848485,76.9230769230769,40,0,80,100,0,0,100,100,79.4463869463869,76.9230769230769,0,0,24,23
2012,"Non-inscrits","Primo-député",4,1.54440154440154,25,0,41,38.5,33.3333333333333,0,25,0,25,0,0,0,25,0,11.1111111111111,0,100,100,3,0
2012,"Total","Ancien député",364,100,18.6813186813187,0,57.9423076923077,59,74.1789313260228,76.0869565217391,33.5164835164835,0,68.1318681318681,100,15.3846153846154,0,98.6263736263736,100,69.8400583295699,71.4285714285714,0,0,24.1126373626374,23
2012,"Total","Primo-député",259,100,38.2239382239382,0,49.4131274131274,50,49.3065342867594,50,32.8185328185328,0,57.1428571428571,100,21.2355212355212,0,84.5559845559846,100,40.3240678278181,40.3703703703704,100,100,11.6447876447876,11
2017,"Centre","Ancien député",37,22.8395061728395,21.6216216216216,0,56.0810810810811,56,64.7891875704636,65.2173913043478,35.1351351351351,0,70.2702702702703,100,8.10810810810811,0,94.5945945945946,100,56.952524973256,60,0,0,20.1351351351351,19
2017,"Centre","Primo-député",332,78.4869976359338,49.0963855421687,0,46.0240963855422,46,22.0593015904981,10.8187134502924,16.2650602409639,0,75.3012048192771,100,15.6626506024096,0,47.5903614457831,0,16.8569093862056,0,100,100,4.95481927710843,3
2017,"COM/LFI","Ancien député",7,4.32098765432099,28.5714285714286,0,61,59,66.7139075200124,74.0740740740741,14.2857142857143,0,42.8571428571429,0,28.5714285714286,0,100,100,64.5975054036103,62.7906976744186,0,0,24.5714285714286,27
2017,"COM/LFI","Primo-député",26,6.14657210401891,30.7692307692308,0,46.3076923076923,47,32.8184063155059,16.9607843137254,34.6153846153846,0,42.3076923076923,0,34.6153846153846,0,53.8461538461538,100,25.2028359123513,13.1884057971015,100,100,8.88461538461539,5
2017,"Droite","Ancien député",85,52.4691358024691,15.2941176470588,0,56.0352941176471,56,75.3943026927137,76.3157894736842,36.4705882352941,0,69.4117647058823,100,5.88235294117647,0,97.6470588235294,100,70.0433116392829,69.6969696969697,0,0,22.8823529411765,22
2017,"Droite","Primo-député",50,11.8203309692671,36,0,47.54,49,62.3623238037932,62.3529411764706,28,0,54,100,20,0,96,100,52.3039609310337,48.1554677206851,100,100,13.44,11
2017,"ECO/SOC/RAD","Ancien député",26,16.0493827160494,42.3076923076923,0,55.6153846153846,56,70.202953720039,70,53.8461538461538,100,50,50,7.69230769230769,0,92.3076923076923,100,60.1591931066271,61.3247863247863,0,0,20.7307692307692,22
2017,"ECO/SOC/RAD","Primo-député",5,1.18203309692671,20,0,54,47,74.0973937143568,80.952380952381,40,0,60,100,20,0,80,100,64.5786771368167,76.1904761904762,100,100,23,20
2017,"Non-inscrits","Ancien député",7,4.32098765432099,28.5714285714286,0,57.8571428571429,59,65.5026979371556,77.4193548387097,28.5714285714286,0,71.4285714285714,100,14.2857142857143,0,100,100,59.8191341890757,66.6666666666667,0,0,19.5714285714286,16
2017,"Non-inscrits","Primo-député",10,2.36406619385343,20,0,49.3,48.5,55.5740925574291,47.3684210526316,50,50,40,0,0,0,90,100,49.8401951661969,47.3684210526316,100,100,12.5,15.5
2017,"Total","Ancien député",162,100,22.2222222222222,0,56.2716049382716,56,71.3364734809198,73.3333333333333,37.6543209876543,0,65.4320987654321,100,8.02469135802469,0,96.2962962962963,100,64.7900025387076,64.7058823529412,0,0,21.8395061728395,22
2017,"Total","Primo-député",423,100,45.3900709219858,0,46.3924349881797,47,28.8609954305853,18.4697855750487,19.8581560283688,0,69.7399527186761,100,17.0212765957447,0,55.0827423167849,100,22.8683500473822,11.7692307692308,100,100,6.59101654846336,3
2022,"Centre","Ancien député",177,59.7972972972973,39.5480225988701,0,52.6214689265537,53,49.4904050265466,46.6666666666667,22.5988700564972,0,75.1412429378531,100,10.7344632768362,0,64.9717514124294,100,44.942474053842,42.8571428571429,0,0,13.1129943502825,8
2022,"Centre","Primo-député",83,27.5747508305648,38.5542168674699,0,46.3012048192771,46,42.6536350299043,38.0952380952381,40.9638554216867,0,66.2650602409639,100,10.8433734939759,0,71.0843373493976,100,30.6639712451916,20,100,100,8.04819277108434,7
2022,"COM/LFI","Ancien député",25,8.44594594594595,28,0,50,51,57.8641184180386,62.5,40,0,40,0,28,0,68,100,51.1093480132261,51.219512195122,0,0,15.4,14
2022,"COM/LFI","Primo-député",72,23.9202657807309,40.2777777777778,0,42.6944444444444,42,26.6999359142434,11.1111111111111,20.8333333333333,0,41.6666666666667,0,44.4444444444444,0,47.2222222222222,0,17.9859583127977,5.55555555555556,100,100,4.625,2
2022,"Droite","Ancien député",63,21.2837837837838,26.984126984127,0,52.1269841269841,54,72.3175900347989,78.5714285714286,39.6825396825397,0,60.3174603174603,100,9.52380952380952,0,85.7142857142857,100,63.8601377851006,65.625,0,0,19.4444444444444,18
2022,"Droite","Primo-député",30,9.96677740863787,40,0,47.7666666666667,50,62.5240224299395,60.9848484848485,23.3333333333333,0,60,100,23.3333333333333,0,96.6666666666667,100,55.3941191276224,55.4945054945054,100,100,13.7,13
2022,"ECO/SOC/RAD","Ancien député",22,7.43243243243243,45.4545454545455,0,57.1363636363636,57.5,66.3020185829844,67.7753141167776,45.4545454545455,0,63.6363636363636,100,9.09090909090909,0,86.3636363636364,100,56.0521826101228,56.859756097561,0,0,20.6818181818182,22
2022,"ECO/SOC/RAD","Primo-député",32,10.6312292358804,43.75,0,44.59375,44,50.1262083535567,47.6842105263158,40.625,0,53.125,100,15.625,0,78.125,100,33.6589361875133,40.5882352941177,100,100,9.625,9
2022,"Extrême-droite","Ancien député",5,1.68918918918919,40,0,49.2,49,83.4661889834303,85.7142857142857,80,100,0,0,20,0,100,100,75.3504254366323,82.7586206896552,0,0,20.2,21
2022,"Extrême-droite","Primo-député",84,27.906976744186,36.9047619047619,0,45.9761904761905,45.5,38.3360823728184,28.5714285714286,33.3333333333333,0,48.8095238095238,0,27.3809523809524,0,78.5714285714286,100,28.9041280467287,17.7777777777778,100,100,5.69047619047619,4
2022,"Non-inscrits","Ancien député",4,1.35135135135135,50,50,58.75,60,73.713939598828,88.8071895424837,75,100,50,50,0,0,75,100,70.2417173766058,83.3333333333333,0,0,25.75,31
2022,"Total","Ancien député",296,100,36.4864864864865,0,52.6554054054054,54,57.2069051840546,55.0509337860781,31.0810810810811,0,66.554054054054,100,11.8243243243243,0,71.9594594594595,100,51.1709706163321,50,0,0,15.5067567567568,13
