"legis.annee","genre","tendance.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"Hommes","ECO/SOC/RAD",233,63.8356164383562,0,0,54.2403433476395,55,66.4368233221591,72.5,41.6309012875536,0,60.5150214592275,100,18.4549356223176,0,93.9914163090129,100,58.4459260427702,63.8888888888889,50.6437768240343,100,19.6394849785408,19
2012,"Hommes","Non-inscrits",6,66.6666666666667,0,0,53,54,55.3613053613054,66.0839160839161,33.3333333333333,0,66.6666666666667,100,0,0,66.6666666666667,100,42.968142968143,46.2121212121212,50,50,14.8333333333333,15.5
2012,"Total","Centre",32,100,6.25,0,53.71875,52.5,72.3231674089031,80.2801724137931,37.5,0,56.25,100,15.625,0,90.625,100,67.516675644246,77.2077922077922,25,0,20.96875,23
2012,"Total","COM/LFI",15,100,20,0,60.8666666666667,62,71.582859740587,81.0810810810811,13.3333333333333,0,46.6666666666667,0,33.3333333333333,0,100,100,68.967229756536,81.0810810810811,33.3333333333333,0,26.2,29
2012,"Total","Droite",202,100,13.3663366336634,0,55.3019801980198,56,69.9855129626976,71.4285714285714,31.6831683168317,0,76.2376237623762,100,7.42574257425743,0,96.5346534653465,100,65.4467938457568,66.260162601626,18.8118811881188,0,21.1287128712871,23
2012,"Total","ECO/SOC/RAD",365,100,36.1643835616438,0,53.8219178082192,55,59.4305061221188,64.2857142857143,34.5205479452055,0,58.0821917808219,100,23.5616438356164,0,91.2328767123288,100,51.9987151771738,53.5714285714286,55.8904109589041,100,17.3397260273973,17
2012,"Total","Non-inscrits",9,100,33.3333333333333,0,49,51,63.1155303030303,75,33.3333333333333,0,55.5555555555556,100,0,0,66.6666666666667,100,53.8206585081585,62.2377622377623,44.4444444444444,0,14.6666666666667,19
2017,"Femmes","Centre",171,46.3414634146341,100,100,46.5555555555556,46,17.75621723121,7.17948717948718,16.9590643274854,0,69.5906432748538,100,21.6374269005848,0,42.6900584795322,0,12.6357918083307,0,95.3216374269006,100,4.05263157894737,2
2017,"Femmes","COM/LFI",10,30.3030303030303,100,100,45.8,40.5,30.4433440896109,6.66666666666665,20,0,30,0,40,0,50,50,24.4624828455918,6.66666666666665,80,100,8.5,1
2017,"Femmes","Droite",31,22.962962962963,100,100,52,55,56.7140826416086,53.3333333333333,22.5806451612903,0,48.3870967741936,0,22.5806451612903,0,100,100,46.5442665937336,38.4615384615385,58.0645161290323,100,14.6129032258065,13
2017,"Femmes","ECO/SOC/RAD",12,38.7096774193548,100,100,57.6666666666667,60,59.461010176558,60.1010101010101,33.3333333333333,0,58.3333333333333,100,8.33333333333333,0,83.3333333333333,100,50.4216169072886,49.0430622009569,8.33333333333333,0,19.1666666666667,20
2017,"Femmes","Non-inscrits",4,23.5294117647059,100,100,49.25,49,55.5759803921569,61.1519607843137,50,50,50,50,0,0,75,100,43.0759803921569,46.5686274509804,50,50,11.75,12
2017,"Hommes","Centre",198,53.6585365853659,0,0,47.4444444444444,48,33.7980331759687,25.7142857142857,19.1919191919192,0,79.2929292929293,100,9.09090909090909,0,60.6060606060606,100,28.0301467717873,18.75,85.3535353535353,100,8.57070707070707,5
2017,"Hommes","COM/LFI",23,69.6969696969697,0,0,51,51,44.1670641716144,41.9354838709677,34.7826086956522,0,47.8260869565217,0,30.4347826086957,0,69.5652173913043,100,37.5144105691516,41.1764705882353,78.2608695652174,100,13.8260869565217,10
2017,"Hommes","Droite",104,77.037037037037,0,0,53.1538461538462,54,74.6970707421197,79.7727272727273,36.5384615384615,0,68.2692307692308,100,7.69230769230769,0,96.1538461538462,100,68.5193006873557,68.5213414634146,30.7692307692308,0,20.8076923076923,22
2017,"Hommes","ECO/SOC/RAD",19,61.2903225806452,0,0,53.8947368421053,55,78.0121917460054,87.0967741935484,63.1578947368421,100,47.3684210526316,0,10.5263157894737,0,94.7368421052632,100,67.4722633457329,72.7272727272727,21.0526315789474,0,22.3157894736842,22
2017,"Hommes","Non-inscrits",13,76.4705882352941,0,0,53.9230769230769,50,61.3651497506937,70.3423304805793,38.4615384615385,0,53.8461538461538,100,7.69230769230769,0,100,100,57.9159811875562,67.1165240289665,61.5384615384615,100,16.5384615384615,18
2017,"Total","Centre",369,100,46.3414634146341,0,47.0325203252033,47,26.3672192506036,15.1515151515152,18.1571815718157,0,74.7967479674797,100,14.9051490514905,0,52.3035230352304,100,20.899246652475,8.82352941176471,89.9728997289973,100,6.4769647696477,3
2017,"Total","COM/LFI",33,100,30.3030303030303,0,49.4242424242424,49,40.0083611164618,34.7826086956522,30.3030303030303,0,42.4242424242424,0,33.3333333333333,0,63.6363636363636,100,33.5592809559517,27.2727272727273,78.7878787878788,100,12.2121212121212,9
2017,"Total","Droite",135,100,22.962962962963,0,52.8888888888889,54,70.5676438449653,72.3404255319149,33.3333333333333,0,63.7037037037037,100,11.1111111111111,0,97.037037037037,100,63.4731817473388,64.7058823529412,37.037037037037,0,19.3851851851852,20
2017,"Total","ECO/SOC/RAD",31,100,38.7096774193548,0,55.3548387096774,56,70.8310892029935,76.1904761904762,51.6129032258064,100,51.6129032258064,100,9.67741935483871,0,90.3225806451613,100,60.8720131114964,64.1025641025641,16.1290322580645,0,21.0967741935484,22
2017,"Total","Non-inscrits",17,100,23.5294117647059,0,52.8235294117647,49,59.9178574110595,70.3423304805793,41.1764705882353,0,52.9411764705882,100,5.88235294117647,0,94.1176470588235,100,54.2059809887064,64.9659863945579,58.8235294117647,100,15.4117647058824,16
2022,"Femmes","Centre",102,39.2307692307692,100,100,50.5392156862745,50,37.7434442670922,31.0096153846154,27.4509803921569,0,69.6078431372549,100,13.7254901960784,0,55.8823529411765,100,30.6074201868412,26.4912280701754,31.3725490196078,0,9.27450980392157,7
2022,"Femmes","COM/LFI",36,37.1134020618557,100,100,43.8055555555556,43,28.6248772857852,20,19.4444444444444,0,47.2222222222222,0,44.4444444444444,0,47.2222222222222,0,24.2806267650641,16.6666666666667,80.5555555555556,100,5.75,2
2022,"Femmes","Droite",29,31.1827956989247,100,100,50.4137931034483,53,61.6620333421761,58.3333333333333,27.5862068965517,0,51.7241379310345,100,20.6896551724138,0,93.1034482758621,100,52.0778194011041,48.2758620689655,41.3793103448276,0,14.8965517241379,12
2022,"Femmes","ECO/SOC/RAD",24,44.4444444444444,100,100,48.7916666666667,49,54.0126288712619,46.7611336032389,37.5,0,58.3333333333333,100,12.5,0,79.1666666666667,100,37.3460334053243,38.7820512820513,58.3333333333333,100,12.375,10
2022,"Femmes","Extrême-droite",33,37.0786516853933,100,100,51.0909090909091,52,25.3241480072473,11.7647058823529,15.1515151515152,0,45.4545454545455,0,39.3939393939394,0,78.7878787878788,100,21.0025556468618,7.40740740740741,93.9393939393939,100,6.09090909090909,2
2022,"Femmes","Non-inscrits",2,50,100,100,56.5,56.5,57.1501014198783,57.1501014198783,50,50,50,50,0,0,50,50,57.1501014198783,57.1501014198783,0,0,19,19
2022,"Hommes","Centre",158,60.7692307692308,0,0,50.6455696202532,51,53.4824182401101,50.9615384615385,29.1139240506329,0,74.0506329113924,100,8.86075949367089,0,74.0506329113924,100,46.6960168469818,46.8627450980392,32.2784810126582,0,12.9303797468354,8.5
2022,"Hommes","COM/LFI",61,62.8865979381443,0,0,45.0327868852459,45,38.7631836191742,30.7692307692308,29.5081967213115,0,37.7049180327869,0,37.7049180327869,0,55.7377049180328,100,28.287167578584,16.6666666666667,70.4918032786885,100,8.37704918032787,5
2022,"Hommes","Droite",64,68.8172043010753,0,0,50.859375,53,72.5551543463658,79.2857142857143,37.5,0,64.0625,100,10.9375,0,87.5,100,65.2305545571562,71.0801393728223,28.125,0,18.8125,19.5
2022,"Hommes","ECO/SOC/RAD",30,55.5555555555556,0,0,50.4333333333333,51,58.8793327743062,59.4117647058823,46.6666666666667,0,56.6666666666667,100,13.3333333333333,0,83.3333333333333,100,47.1309724565114,47.3333333333333,60,100,15.5333333333333,14.5
2022,"Hommes","Extrême-droite",56,62.9213483146067,0,0,43.25,39.5,50.2459799567622,50,48.2142857142857,0,46.4285714285714,0,19.6428571428571,0,80.3571428571429,100,37.8674621584583,28.5714285714286,94.6428571428571,100,6.75,7
2022,"Hommes","Non-inscrits",2,50,0,0,61,61,90.2777777777778,90.2777777777778,100,100,50,50,0,0,100,100,83.3333333333333,83.3333333333333,0,0,32.5,32.5
2022,"Total","Centre",260,100,39.2307692307692,0,50.6038461538462,51,47.3078976814646,42.8571428571429,28.4615384615385,0,72.3076923076923,100,10.7692307692308,0,66.9230769230769,100,40.3843366187728,35.7142857142857,31.9230769230769,0,11.4961538461538,8
2022,"Total","COM/LFI",97,100,37.1134020618557,0,44.5773195876289,44,34.9882823248272,23.2683982683983,25.7731958762887,0,41.2371134020619,0,40.2061855670103,0,52.5773195876289,100,26.795370467167,16.6666666666667,74.2268041237113,100,7.4020618556701,5
2022,"Total","Droite",93,100,31.1827956989247,0,50.7204301075269,53,69.1583746783927,72.4137931034483,34.4086021505376,0,60.2150537634409,100,13.9784946236559,0,89.247311827957,100,61.1291640246238,58.974358974359,32.258064516129,0,17.5913978494624,14
