"legis.annee","tendance.pol","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"COM/LFI","Ancien élu local",15,2.59515570934256,20,0,60.8666666666667,62,71.582859740587,81.0810810810811,13.3333333333333,0,46.6666666666667,0,33.3333333333333,0,100,100,68.967229756536,81.0810810810811,33.3333333333333,0,26.2,29
2012,"Droite","Ancien élu local",195,33.7370242214533,13.3333333333333,0,55.5128205128205,56,71.8009354267994,71.875,31.7948717948718,0,76.4102564102564,100,6.66666666666667,0,100,100,67.3423202612906,67.4418604651163,17.4358974358974,0,21.7076923076923,23
2012,"Droite","Jamais élu local",7,15.5555555555556,14.2857142857143,0,49.4285714285714,48,19.413030034148,21.2121212121212,28.5714285714286,0,71.4285714285714,100,28.5714285714286,0,0,0,12.6428436987443,0,57.1428571428571,100,5,5
2012,"ECO/SOC/RAD","Ancien élu local",333,57.6124567474048,34.2342342342342,0,54.6966966966967,56,63.7731281244241,66.6666666666667,35.1351351351351,0,57.6576576576577,100,24.3243243243243,0,100,100,56.8305885427128,56.0975609756098,52.2522522522523,100,18.7807807807808,17
2012,"ECO/SOC/RAD","Jamais élu local",32,71.1111111111111,56.25,100,44.71875,42.5,14.2400959106288,0,28.125,0,62.5,100,15.625,0,0,0,1.71703296703297,0,93.75,100,2.34375,0
2012,"Non-inscrits","Ancien élu local",6,1.03806228373702,33.3333333333333,0,52.3333333333333,51,84.1540404040404,86.3782051282051,50,50,66.6666666666667,100,0,0,100,100,71.760878010878,71.1538461538462,16.6666666666667,0,22,21.5
2012,"Non-inscrits","Jamais élu local",3,6.66666666666667,33.3333333333333,0,42.3333333333333,40,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,100,100,0,0
2012,"Total","Ancien élu local",578,100,25.4325259515571,0,55.0622837370242,56,67.7000736492683,70.7317073170732,33.9100346020761,0,63.6678200692042,100,17.8200692041523,0,100,100,61.7334701915298,63.8888888888889,37.8892733564014,0,20.2128027681661,20
2012,"Total","Jamais élu local",45,100,44.4444444444444,0,45.8444444444444,46,13.4448699858899,0,24.4444444444444,0,62.2222222222222,100,17.7777777777778,0,0,0,3.26011274627875,0,88.8888888888889,100,2.44444444444444,0
2017,"Centre","Ancien élu local",193,49.6143958868895,37.8238341968912,0,51.1917098445596,51,43.018625361964,37.7976190476191,17.6165803108808,0,69.9481865284974,100,17.6165803108808,0,100,100,39.7390493283237,36,81.8652849740933,100,11.4559585492228,9
2017,"Centre","Jamais élu local",176,89.7959183673469,55.6818181818182,100,42.4715909090909,41,8.09824797413963,0,18.75,0,80.1136363636364,100,11.9318181818182,0,0,0,0.229291716686675,0,98.8636363636364,100,1.01704545454545,0
2017,"COM/LFI","Ancien élu local",21,5.39845758354756,23.8095238095238,0,54.6666666666667,56,62.2491637420177,63.1578947368421,42.8571428571429,0,33.3333333333333,0,28.5714285714286,0,100,100,52.7360129307812,57.8947368421053,66.6666666666667,100,19.047619047619,18
2017,"COM/LFI","Jamais élu local",12,6.12244897959184,41.6666666666667,0,40.25,40.5,1.08695652173913,0,8.33333333333333,0,58.3333333333333,100,41.6666666666667,0,0,0,0,0,100,100,0.25,0
2017,"Droite","Ancien élu local",131,33.6760925449871,23.6641221374046,0,53.030534351145,54,71.6827708318943,74.468085106383,32.824427480916,0,63.3587786259542,100,11.4503816793893,0,100,100,65.1764821925736,65,36.6412213740458,0,19.7022900763359,21
2017,"Droite","Jamais élu local",4,2.04081632653061,0,0,48.25,51.5,34.0472350230415,26.0944700460829,50,50,75,100,0,0,0,0,7.69009216589862,6.4516129032258,50,50,9,7.5
2017,"ECO/SOC/RAD","Ancien élu local",28,7.19794344473008,35.7142857142857,0,56.6428571428571,56.5,73.0464060359989,78.5714285714286,50,50,50,50,10.7142857142857,0,100,100,64.5744656441191,64.8529411764706,14.2857142857143,0,22.3571428571429,22
2017,"ECO/SOC/RAD","Jamais élu local",3,1.53061224489796,66.6666666666667,100,43.3333333333333,44,50.1547987616099,29.4117647058824,66.6666666666667,100,66.6666666666667,100,0,0,0,0,26.3157894736842,26.3157894736842,33.3333333333333,0,9.33333333333333,5
2017,"Non-inscrits","Ancien élu local",16,4.11311053984576,18.75,0,53.0625,49.5,63.9123812384634,77.4193548387097,43.75,0,50,50,6.25,0,100,100,57.8197130546202,66.6666666666667,56.25,100,16.375,17
2017,"Non-inscrits","Jamais élu local",1,0.510204081632653,100,100,49,49,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0
2017,"Total","Ancien élu local",389,100,31.3624678663239,0,52.4678663239075,53,56.7473813298257,58.3333333333333,27.5064267352185,0,63.4961439588689,100,15.1670951156812,0,100,100,51.5525933944866,51.6129032258065,59.8971722365039,100,15.6298200514139,16
